Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-0.97106028,-0.19078013,0.007283975799999999,-0.02271509
-1.0520052,-0.1907531,0.007230284599999999,-0.022740077
-1.0272954,-0.19077042,0.0072515936999999996,-0.022754636
-0.9842869000000001,-0.1906932,0.007309665,-0.02272282
-1.0181404,-0.19074437,0.0072864335999999995,-0.022735531
-1.0274109,-0.19072944,0.0072830203,-0.022790179
-0.95803475,-0.19069594,0.0071955491,-0.022737623999999998
-1.0001287,-0.19072920000000002,0.007331253,-0.022772321
-1.0376945,-0.19072649,0.0072151627000000005,-0.022723284
-0.95250273,-0.19072303,0.007303429300000001,-0.022714499
-0.99859947,-0.19069427,0.0072589223,-0.022763303
-1.0135994000000002,-0.19077289,0.0072053578,-0.022732705
-0.94312429,-0.19071209,0.0073203212,-0.022708034
-0.97682512,-0.19068703,0.0072591272,-0.022723933999999998
-0.99683928,-0.19074249,0.0072862846,-0.022730405
-0.95746291,-0.19070262,0.0072526424,-0.02270069
-0.97929311,-0.19070119,0.0073416340000000005,-0.022719967999999997
-1.0190774,-0.19078919,0.0071640746,-0.022698546
-0.93557125,-0.19073293,0.007264499999999999,-0.022683132
-0.97962284,-0.19071978,0.0071762143999999995,-0.02273999
-2.7246754,-0.0006494522099999999,-0.00051715871,-0.00061188638
-3.9854479,-0.0011364222,-0.0008986212199999999,-0.0008907914199999999
-6.5280442,-0.0020857155,-0.0017375243,-0.0016342848999999998
-8.536220599999998,-0.0029089451,-0.0024148524,-0.0022351742
-10.669608,-0.0036675632,-0.0030733664000000003,-0.0028191525
-12.683383000000001,-0.0044006109,-0.0038038815999999996,-0.0034717628999999996
-14.686216,-0.0051627755,-0.0043735602,-0.0041041188
-16.592714,-0.0058301687,-0.0050408118,-0.0047518872
-18.474636,-0.006513387,-0.005702876999999999,-0.0053332802
-20.472307,-0.0071353018,-0.0062987888,-0.006100622900000001
-22.395386,-0.007918357800000001,-0.0069106803,-0.0068345657
-24.296762,-0.0084864199,-0.0076298048,-0.0075102495
-26.307699,-0.009136795999999999,-0.0082541555,-0.0082351705
-28.245116999999997,-0.0098918378,-0.0089706592,-0.008967129499999999
-30.148236999999998,-0.010635465,-0.0095613468,-0.0097460011
-32.149387,-0.011193633,-0.01027702,-0.010448026
-34.073409999999996,-0.011928201000000001,-0.010919478,-0.011177747
-35.987259,-0.012577861999999999,-0.011483321000000001,-0.011875261000000002
-37.956123,-0.013237118999999999,-0.012338807,-0.012600673
-39.912132,-0.013945103,-0.012919283,-0.013418848
-41.840923,-0.014660388,-0.013653176999999999,-0.014239695
-43.87257,-0.015325874,-0.014363355,-0.014977936
-45.760222999999996,-0.016008138999999998,-0.014961486000000001,-0.015725594
-47.649799,-0.016672133999999998,-0.015627626000000002,-0.016427643999999998
-49.643654,-0.017347395,-0.016369741,-0.017206354
-51.593452,-0.018137336,-0.017064119,-0.017978208
-53.510971,-0.018683136,-0.017767161,-0.018762037
-55.473606000000004,-0.019524872,-0.018391043,-0.019474927
-57.462936,-0.020194828999999997,-0.019217668,-0.020348262
-59.341179000000004,-0.020903498,-0.019800808,-0.021054862
-61.330112,-0.021608025,-0.020557506,-0.021898478
-63.33658199999999,-0.022256136,-0.021234202999999997,-0.022663648999999998
-65.22013100000001,-0.02296868,-0.021970462000000003,-0.023496787999999998
-67.190712,-0.023624957000000002,-0.022790732,-0.024219627999999997
-69.169754,-0.024428337999999997,-0.023348228999999998,-0.025048997000000003
-71.003036,-0.025116086,-0.024101341000000002,-0.025777283999999998
-72.977486,-0.025816827999999997,-0.02476616,-0.026634183
-74.989403,-0.026551157000000002,-0.025505387999999997,-0.027418453
-76.951111,-0.027252316000000002,-0.026349413999999998,-0.028251852999999997
-78.808029,-0.027934521,-0.0269488,-0.029006023
-80.857224,-0.028758407000000003,-0.027833875,-0.029846635
-82.759026,-0.029312372000000003,-0.028433148,-0.03053553
-84.711975,-0.030148596,-0.029207891,-0.031399641
-86.743675,-0.030842155,-0.029905267000000003,-0.032289825
-88.643852,-0.031551777999999996,-0.030496975,-0.033034928
-90.577515,-0.032276094,-0.031286761,-0.033840477
-92.578682,-0.033015907000000004,-0.032040507,-0.034624733
-94.481812,-0.033703774,-0.032779727,-0.035439566
-96.373749,-0.034484386,-0.033512812,-0.036213077999999996
-98.37078100000001,-0.035185963,-0.034180742,-0.037025794
-100.30705,-0.035935611,-0.034959528999999996,-0.037866592000000004
-102.21919,-0.036660999,-0.035630751,-0.038675233999999996
-104.29115,-0.037464231,-0.03651784,-0.039557282
-106.19765,-0.038265526,-0.037271172000000005,-0.040329136
-108.146,-0.038893789,-0.038075887,-0.041154839
-110.13417,-0.03969413,-0.038810067000000004,-0.042010717
-112.05063999999999,-0.040403575,-0.039445929,-0.042827643
-113.94993999999998,-0.041161269,-0.040302463,-0.043665811
-115.91273000000001,-0.04195195400000001,-0.040977832,-0.044460922
-117.9217,-0.042733371,-0.041766509,-0.045334365
-119.83188,-0.043475837,-0.042558853,-0.046215325999999994
-121.794,-0.044258325999999994,-0.043321736,-0.047042798
-123.82548999999999,-0.045001477000000005,-0.044073105,-0.047899770999999994
-125.67248000000001,-0.045698494000000006,-0.044778667,-0.048633523
-127.62106000000001,-0.046424717000000004,-0.045571197,-0.049502142
-129.61588,-0.047181575999999996,-0.046397258,-0.050291747000000005
-131.53658000000001,-0.04798317,-0.047142286,-0.051122651
-133.4653,-0.04875347,-0.048021533,-0.05201266
-135.50284,-0.04953053599999999,-0.048721742,-0.052883476
-137.4285,-0.050291805999999994,-0.049576771,-0.053714793
-139.29573,-0.05103451,-0.050390288,-0.054543870999999994
-141.33052,-0.051781833,-0.051165875,-0.055396963
-140.94353,-0.05178678,-0.051257368,-0.055480503
-138.99542,-0.051348895,-0.050667297,-0.054891139000000005
-137.0533,-0.050828248,-0.050168294,-0.054325622000000004
-135.02345,-0.050238967,-0.049562175,-0.05364405
-132.98407,-0.049614877,-0.048906129000000007,-0.052978117000000005
-131.1524,-0.049103796,-0.048396412,-0.052428402
-129.17686,-0.048496782999999995,-0.047652524,-0.051694348
-127.18693999999999,-0.047854424000000007,-0.047131423,-0.051098946
-125.18485,-0.047172307999999996,-0.04655861099999999,-0.050421424000000006
-123.21001000000001,-0.046642095,-0.045824874,-0.04972282099999999
-121.2144,-0.046010017,-0.045284744,-0.048995505999999994
-119.39684,-0.045455605,-0.044715252000000004,-0.048358828
-117.45443,-0.044765174000000005,-0.044078976,-0.047632679000000004
-115.39811999999999,-0.044261307,-0.043459713,-0.046922542000000005
-113.54198000000001,-0.043565154,-0.042878922,-0.046306133
-111.51673999999998,-0.042952329000000004,-0.042314209000000005,-0.045532834
-109.63243999999999,-0.042336524,-0.041646103999999996,-0.044883542
-107.61485,-0.041662662999999996,-0.040984925,-0.044223003
-105.65836000000002,-0.041062534,-0.040445882999999995,-0.043488505999999996
-103.68743,-0.040341496,-0.039645533999999996,-0.042756050999999996
-101.84551,-0.039761364,-0.039115302000000005,-0.04206356
-99.822304,-0.039106786,-0.038404886,-0.041357972
-97.854225,-0.03846845,-0.037834503,-0.040671103
-95.961525,-0.037874132000000005,-0.037236102,-0.039926574
-93.994843,-0.037174404,-0.036624237999999996,-0.039251421
-92.006683,-0.036507189,-0.035947047,-0.038505472
-90.09993,-0.035879672,-0.035206888,-0.037783183
-88.13485,-0.035221994,-0.034688886,-0.03713613
-86.14550799999999,-0.034609228,-0.033985518,-0.036396362
-84.216881,-0.033869892,-0.033381738,-0.035663366
-82.290527,-0.033296525,-0.032752823,-0.034958377
-80.2994,-0.032567561,-0.032039169,-0.034172377999999996
-78.318436,-0.031896918999999996,-0.031339318,-0.033440404
-76.371597,-0.031257927000000005,-0.030862406000000002,-0.032677811
-74.413185,-0.030548036,-0.030079734,-0.031911626
-72.548447,-0.029948175,-0.029530697,-0.031195505
-70.595451,-0.029232472000000002,-0.028780175,-0.030433218999999997
-68.60880300000001,-0.028496385,-0.028197844,-0.029759815
-66.643135,-0.027868717999999997,-0.027593807999999997,-0.029009836
-64.732056,-0.027144997999999997,-0.02688824,-0.028231684
-62.737225,-0.026376039,-0.026285416000000002,-0.027434117999999997
-60.805843,-0.025648206,-0.02562451,-0.026684206000000002
-58.900951,-0.025022805,-0.025045868,-0.025957248999999998
-56.887668999999995,-0.024307667999999998,-0.024336001,-0.025170054
-54.969009,-0.023573548,-0.023614261,-0.024464434
-53.065205000000006,-0.022803873,-0.023043322999999998,-0.023720315
-51.045238,-0.022057384,-0.022255768999999998,-0.022909386
-49.120876,-0.02139923,-0.021613387,-0.02214914
-47.220619,-0.020701081,-0.021081602,-0.021364041
-45.201446999999995,-0.019966424,-0.020232433,-0.020536615
-43.268229999999996,-0.019196421,-0.019683516,-0.01986392
