Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-0.97761488,0.42592442,-0.041352149,-0.019781582
-1.0547712,0.42588621,-0.041448187000000004,-0.019884596
-0.98180401,0.42593774,-0.041359078,-0.019821245
-0.95992351,0.42588258,-0.041464917000000004,-0.019767385
-1.0647346000000002,0.42586833,-0.041457247,-0.019847861
-0.99024737,0.42590564,-0.041397333,-0.019846475
-0.9438321,0.42594358,-0.04144115,-0.019766785
-1.0538641000000002,0.42589828,-0.041425638,-0.019882826
-0.99897945,0.42589492,-0.041305505,-0.019777277
-0.96281058,0.42592567,-0.041379895,-0.019721825
-1.0334141,0.42589015,-0.041431811,-0.019799214
-1.0150187,0.42596585,-0.041430842,-0.019810572
-0.98197162,0.42586714,-0.04140139,-0.019788627
-1.0222942,0.42594659,-0.041353032000000005,-0.019841078999999998
-1.0233428,0.42592204,-0.041523442,-0.019812731
-0.97492337,0.4259488,-0.041304395,-0.019728554
-1.0055043,0.42590851,-0.041448966000000004,-0.019814955
-1.0184534,0.42590284,-0.041370843,-0.019756377
-0.98394603,0.42592555,-0.041449707,-0.019726561
-0.96911752,0.42598376,-0.041387685,-0.019756494
-2.7589742999999998,-0.00076089799,-0.00037221237999999997,-0.00073201105
-3.9852017999999996,-0.0012218952,-0.00066050701,-0.0011266595
-6.4928422,-0.0021134019,-0.0012708269,-0.001975737
-8.4502811,-0.0029257983,-0.0018442953,-0.0025707535
-10.758852000000001,-0.0038222372999999997,-0.0025014672,-0.0034740325
-12.75801,-0.0045698881,-0.0031527215999999996,-0.0041194106
-14.692244,-0.0052111894,-0.0036916211,-0.0047736145
-16.620642,-0.0059814155,-0.0042790080999999995,-0.0054688929
-18.523623999999998,-0.0065659136,-0.0048539955,-0.0062215994
-20.469894,-0.0071981996,-0.0055507421,-0.006950898100000001
-22.437065,-0.0079415143,-0.006262166400000001,-0.0077168335999999995
-24.342223999999998,-0.0086194277,-0.0067187566,-0.008417334399999999
-26.219837,-0.0092960596,-0.0073724509999999995,-0.0091339154
-28.134196999999997,-0.0098712891,-0.008006691,-0.0098351659
-30.204952000000002,-0.010692209,-0.0087653929,-0.010686398
-32.141201,-0.01136528,-0.0093581798,-0.011477178999999999
-34.085407000000004,-0.012082428000000001,-0.010023898,-0.01222848
-36.051777,-0.01272285,-0.010736695,-0.013014168000000001
-37.849323,-0.013322085,-0.011268246,-0.013676599999999999
-39.833317,-0.014006227,-0.012111266,-0.014520993000000001
-41.941134999999996,-0.01472649,-0.012692674,-0.015420208999999999
-43.785465,-0.015432432,-0.013417802,-0.01614986
-45.751488,-0.016160696999999998,-0.01411838,-0.016968405
-47.654334999999996,-0.016867861,-0.014668508,-0.017655464
-49.597384999999996,-0.017453507,-0.015424193000000001,-0.018424507
-51.498756,-0.01816617,-0.016107183,-0.019238936
-53.60635799999999,-0.018878043,-0.016812846,-0.02012926
-55.573326,-0.019586831000000002,-0.017470084,-0.020981967
-57.377525,-0.02029033,-0.018239558,-0.021648867000000002
-59.457747999999995,-0.021019265,-0.01896926,-0.022559403
-61.408726,-0.021786481,-0.019701507,-0.023334248
-63.221447,-0.022395208,-0.020250745,-0.024046342999999998
-65.207245,-0.023146048,-0.021044123999999997,-0.024866307
-67.302971,-0.02391535,-0.021837611,-0.025842248999999998
-69.110603,-0.024570465,-0.022375565,-0.026566964
-71.1325,-0.025325134,-0.023219686,-0.027392168999999997
-73.122047,-0.025952086,-0.023882132,-0.02823657
-74.97224399999999,-0.026734412000000003,-0.024652261,-0.028989229
-76.871773,-0.027384803,-0.025357865,-0.029791581
-78.918266,-0.02810704,-0.025996447000000002,-0.030623762000000002
-80.8312,-0.028853952999999998,-0.026733099999999996,-0.03145647
-82.760841,-0.029465765,-0.027351707000000003,-0.032349266
-84.793755,-0.030356511,-0.028344225,-0.033183057
-86.707413,-0.031045108999999998,-0.02896297,-0.033996176
-88.623909,-0.031721234,-0.029674266,-0.034768007999999996
-90.604111,-0.032436229,-0.030415241000000003,-0.035620365
-92.588081,-0.033225991,-0.031074774,-0.036473057999999996
-94.475037,-0.033968531,-0.031844471,-0.037279047
-96.435799,-0.034697421,-0.032586604,-0.038078204
-98.428368,-0.035450369,-0.033415838999999996,-0.038928292999999996
-100.34467,-0.036045611,-0.034173682000000004,-0.039739348
-102.24553,-0.036838979,-0.034803327,-0.040517405
-104.26816,-0.0376065,-0.035582427,-0.041394889
-106.17387,-0.038298666,-0.036375739,-0.042287301
