Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-0.98710692,-0.069941565,0.025368601,0.046717122
-1.0429565,-0.069940142,0.02530385,0.046636842000000005
-1.0096431000000001,-0.069957592,0.025380371000000002,0.046682488
-0.96140242,-0.06987343,0.025414612000000003,0.046747413
-0.97693133,-0.069962211,0.025260982999999997,0.046728360999999996
-1.0434575000000001,-0.07001777,0.025294973,0.04665776
-0.98605639,-0.069922119,0.025324082,0.046712536
-0.97040647,-0.06988582,0.025403785,0.046738524000000004
-1.0414273,-0.069952533,0.025316114,0.046665087
-1.0219141999999999,-0.069941163,0.025239736000000002,0.046670906
-0.96455586,-0.06997442200000001,0.025351789,0.04672189400000001
-0.97377038,-0.06992807200000001,0.025318014,0.046721373
-1.0244269,-0.069955543,0.025410172,0.046722654
-0.98918194,-0.06996578,0.025371836000000002,0.046717762999999995
-0.96851218,-0.069857031,0.02540553,0.046749439000000004
-0.97793901,-0.069924079,0.025370475,0.046729743
-1.0135826,-0.069938906,0.025370441,0.04675094
-0.94816458,-0.069952704,0.025503663,0.04678224
-0.9739548000000001,-0.06984681599999999,0.025385201,0.04673158
-1.0309629,-0.069909707,0.025363794,0.046735215999999996
-2.6976037,-0.0004556477099999999,-0.00065335125,-0.00059542432
-4.2181926,-0.00095001608,-0.00120611,-0.0010586530000000001
-6.6758637,-0.0018781573000000002,-0.0019361753,-0.00183798
-8.610545199999999,-0.0026043728,-0.0027736691,-0.002443064
-10.659221,-0.0033734068,-0.0034615961,-0.0031152740000000003
-12.712749,-0.0040719956,-0.0042494666,-0.0039413013
-14.734407000000001,-0.0048727319,-0.0049168207,-0.0046757758
-16.58338,-0.0054801702,-0.005536181899999999,-0.0053067915000000005
-18.5058,-0.0061430782,-0.0063443873,-0.0060373135
-20.456379000000002,-0.0068385229,-0.007015115600000001,-0.0068114065000000005
-22.4163,-0.007657282099999999,-0.0077916048,-0.0075496882
-24.298222,-0.0082974285,-0.0083748791,-0.0082755052
-26.227503000000002,-0.0089851767,-0.009118475,-0.0090313628
-28.265959000000002,-0.0097080246,-0.0098709147,-0.0098236278
-30.160384999999998,-0.010477051,-0.010508197,-0.010534689
-32.071587,-0.01117368,-0.011253698999999999,-0.011354493
