Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
0.060759485,0.74978185,-0.045544297000000004,-0.3609446
0.060321763,0.7498017,-0.044841371,-0.36100259
0.047361478,0.74987465,-0.044219099000000005,-0.36100399
0.06623379900000001,0.74986994,-0.04362102599999999,-0.36101642
0.0984855,0.74994457,-0.039838227999999996,-0.36096156
0.068455935,0.74993354,-0.040707108,-0.36099279
0.059863552,0.7499274,-0.040854085,-0.3610813
0.06098859,0.75005507,-0.040891323,-0.36098117
0.09054131800000001,0.75002992,-0.040855546,-0.36096259999999997
0.076502562,0.75012755,-0.040893149,-0.36093679
0.03990531,0.75063103,-0.040849902,-0.36101326
0.079248101,0.73802978,-0.040880356,-0.36088634
0.08588098,0.73739451,-0.040774241,-0.36084872
0.070352107,0.73729742,-0.040818214,-0.36088109
0.07912889099999999,0.73719043,-0.040939469,-0.36087555
0.083053485,0.73721015,-0.040807579,-0.36091816
0.074455515,0.73723501,-0.040836681,-0.36093488
0.07350184,0.73733163,-0.040846102,-0.36095956
0.079432502,0.73735863,-0.040826365,-0.36087647
0.076208264,0.73744279,-0.04092332,-0.36097527
0.054148957000000005,0.73742193,-0.040829729,-0.36094493
0.087505206,0.73757219,-0.040922064,-0.36087978
0.079786405,-2.5167527,-0.040927082000000004,-0.36083636
0.04418008,0.24002141,-0.040875837000000005,-0.36084461
0.084497035,0.0018859208,-0.04078877,-0.36082494
-6.1991792000000006,-0.86830646,-0.040826745,-0.36077824
-6.036335500000001,-3.1093082,-0.040849641,-0.36098844
-4.8636031,1.9192748,-0.040945432999999996,-0.36084029
-3.9443226000000005,1.7636973999999999,-0.040854525,-0.36069301
-3.5628099000000004,1.4316049,-0.040860403,-0.36102602
-3.1764302000000004,1.5365937,-0.040838547,-0.36084396
-2.1352172,1.5341183999999999,-0.040863141,-0.36077964
-1.8283651,1.5473371,-0.040825661,-0.36095184
-1.5753191,1.3976587999999999,-0.040845364,-0.36079097
-1.3830941,1.4363253,-0.040917959,-0.36099213
-1.3265219,1.4548955,-0.040920477000000004,-0.36086988
-1.246646,1.4609370000000002,-0.040740129,-0.36078084
-1.1895523000000001,1.4608533000000001,-0.040883447999999996,-0.36074429999999996
-1.1562742,1.4609558999999999,-0.040872596000000004,-0.36084205
-1.1027790000000002,1.4455295,-0.040895414,-0.36108783
-1.0235403,1.46345,-0.040948506,-0.36176533
-1.0351744,0.76355565,-0.040906589,-0.36137229
-1.0795928,0.54166746,-0.040894013,-0.36139363
-1.0325015,0.10081266,-0.040831822999999996,-0.36071616
-0.96185321,0.10145073,-0.040846609,-0.36087602
-0.94902331,0.08456932,-0.040918067,-0.36236125
-0.98597258,0.085245624,-0.040821441,-0.36203721
-0.97899884,0.08565726900000001,-0.040953521,-0.36159548
-1.0044892,0.048655823,-0.040992975,-0.36197808
-0.99644995,0.48621279,-0.040959217,-0.36194068
-0.97679162,0.49451166,-0.040891147999999995,-0.36226615
-0.95188433,0.50080174,-0.040864311,-0.36236274
-0.99251795,0.49997288,-0.040863048,-0.36221644
-1.0160022,0.49973357,-0.040926516,-0.36300337
-1.0307431,0.49943066,-0.040916048,-0.36285451
-0.94664842,0.49939394,-0.040884886,-0.36280176
-0.94556063,0.4993434,-0.040945694,-0.36096036
-0.98510456,0.49920851,-0.040935669,-0.36100695
-1.0435302,0.49910479999999996,-0.041021716,-0.36102432
-1.0084416999999999,0.49904001,-0.040940885,-0.36088991
-0.97777694,0.49911463,-0.04097978,-0.36092401
-0.9701457,0.49890822,-0.040938694,-0.36093634
-1.0422319,0.49910790000000005,-0.04078434,-0.36097562
-1.0223389,0.49906451,-0.040888369,-0.36582878
-1.0390152,0.49910915,-0.040977757000000004,-0.37579054
-1.0068529,0.49903345,-0.04087634,-0.38643613
-0.98775512,0.49912935,-0.040882718,-0.36268696
-0.95627081,0.4990977,-0.040869381,-0.39809918
-1.0067503,0.49909079,-0.040916111,-0.37358141
-1.041159,0.49900013,-0.040932767,-0.35475429999999997
-1.0118931999999998,0.4991284000000001,-0.040870875,-0.36549723
-0.96408278,0.49909799999999993,-0.040892482,-0.36062995
-0.96208602,0.49904513,-0.040960122,-0.36487523
-0.99161267,0.49903584,-0.040825917999999996,-0.37818637
-1.0095835,0.49904555,-0.040844578,-0.35838526
-1.0204966999999998,0.49900842,-0.040890794,-0.35882396
-1.0167732,0.49897712,-0.040880322000000004,-0.36783919
-0.95033276,0.49906898,-0.040933795,-0.36459765
-0.96735728,0.49899232,-0.040934662999999996,-0.3439576
-1.0387526,0.49897677,-0.040891423999999996,-0.33699509999999994
-1.0457635,0.49900281,-0.040996041000000004,-0.33412522
-1.0008533000000002,0.49907607,-0.040853102,-0.33403328
-0.94744003,0.49898636,-0.040970948,-0.33407113
-0.99442714,0.49890214,-0.040828342999999996,-0.33413255
-0.9751879000000001,0.49887437,-0.040835828,-0.33403581
-1.0337531999999998,0.49886679999999994,-0.040885996,-0.33409199
-1.0603312,0.49881077,-0.040880963,-0.33413887
-0.96400452,0.49890447,-0.040886246,-0.33408314
-0.95313603,0.49886048,-0.040923957000000004,-0.33410513
-1.0136515,0.49895649999999997,-0.040931679,-0.33412513
-1.0200869000000001,0.49890280000000004,-0.040930617999999995,-0.33409232
-1.0211654000000001,0.49892437,-0.040828988,-0.3340829
-0.96467882,0.49887836,-0.040913064,-0.33404744
-0.9803288,0.49894214,-0.040869866,-0.33412638
-0.9733959999999999,0.49896955,-0.04088657,-0.33406615
-1.0084845,0.49899232,-0.040911548,-0.33407533
-1.0266248,0.49882865,-0.04102147,-0.33412489
