Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-0.96855688,0.23169777,0.0010023166,-0.10282146
-0.97157431,0.2316604,0.0011013623,-0.10288075
-0.98012018,0.23174411,0.0010260983,-0.10288616
-1.0222346,0.23163196,0.0010580024,-0.10282528
-1.0549518999999998,0.23169172,0.0010262601,-0.10296436
-0.97555667,0.23174128,0.00095281604,-0.10289036
-0.96588582,0.2317149,0.00099443586,-0.10283904
-1.0060109,0.23162904,0.00094255933,-0.10289189999999998
-1.0017083,0.23173031,0.00096370484,-0.10284276
-1.0187271999999998,0.23169515,0.0010545352,-0.10292152
-0.96826255,0.23172709,0.0010364292999999998,-0.10286921
-0.9483695,0.23170733,0.0010989548,-0.10279377
-1.017686,0.23167834,0.00096561597,-0.10294422
-1.039302,0.23173314,0.0009666719699999998,-0.10292428
-1.0158121999999998,0.23171479,0.00091746513,-0.10291192
-0.97213316,0.23173395,0.00097174547,-0.10290059
-0.94890594,0.23172781,0.0010463867,-0.10282609
-1.0236836999999999,0.23169875,0.00099569629,-0.10298246
-1.0314267,0.23166728,0.00087538239,-0.10288933
-1.0046158,0.23171129999999998,0.0010756825,-0.10286191
-2.5873873,-0.0008786618699999999,-0.0007716015099999999,0.00012670364
-4.499966099999999,-0.001738131,-0.0017128967000000002,0.00011243578000000002
-5.781157,-0.0021965801999999997,-0.0021095704,-8.4489584e-05
-8.610406900000001,-0.0031713545,-0.0033645376,-0.0004540281400000001
-10.531229,-0.003765583,-0.004138093,-0.00071257167
-12.752863,-0.004509895999999999,-0.0051714811,-0.0011741621000000001
-14.773837,-0.0051327348,-0.0059755687,-0.0015584948000000002
-16.716635,-0.005737304699999999,-0.0067740674,-0.0019402076
-18.747623,-0.0063357651,-0.0076152165,-0.002446074
-20.604876,-0.0069093406,-0.0083481446,-0.0028199571999999997
-22.458885000000002,-0.0073743761,-0.0091180624,-0.0033598859000000003
-24.319755999999998,-0.0080006421,-0.0099830227,-0.0037757297999999996
-26.349375,-0.0085480511,-0.010672635,-0.0042666635
-28.336737,-0.009175092,-0.011411283000000001,-0.0047950866
-30.249059999999997,-0.009688288,-0.012126171000000002,-0.0052910587
-32.09861,-0.010221809,-0.01293333,-0.005851144
-34.008922999999996,-0.010811746,-0.013711846000000001,-0.006376517900000001
-36.043503,-0.011498898,-0.014419852,-0.0068753669
-38.071419,-0.011998445,-0.015207636,-0.0074809794
-39.946976,-0.012603939,-0.015928706,-0.007975136899999999
-41.834583,-0.013076425,-0.016629713,-0.0085028829
-43.731528999999995,-0.01366502,-0.017464603999999998,-0.0090921614
-45.810112,-0.014328033,-0.01814313,-0.009692696899999999
-47.815884000000004,-0.01484707,-0.018954543,-0.010252004
-49.685790999999995,-0.015473187,-0.019667068,-0.010743565
-51.563373999999996,-0.016088873,-0.020241925,-0.011492428999999998
-53.506229000000005,-0.016698807,-0.021163151,-0.011946967
-55.528819999999996,-0.017207861,-0.021802124,-0.012567055
-57.61026,-0.01785326,-0.022703112999999997,-0.013256967
-59.46376,-0.018404812,-0.023335064,-0.013780231
-61.301201,-0.019008308999999998,-0.023983816,-0.014354951999999999
-63.249984999999995,-0.019559264,-0.024707036,-0.014973843999999998
-65.28958100000001,-0.020146549,-0.025445761,-0.015537162
-67.33416,-0.020802200000000003,-0.026135096,-0.016242864
-69.19246700000001,-0.02142486,-0.026907822,-0.016779494
-70.99987800000001,-0.021920264,-0.027588814,-0.017372973
-73.01346600000001,-0.022519708,-0.028306458,-0.018041052
