Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
0.10882318,-0.51521653,-1.7464651999999998,-0.012572267
0.061877072000000005,-0.51519251,-1.7463799,-0.016854946000000003
0.087935477,-0.51525927,-1.7465004000000002,-0.015953388
0.10537356,-0.51532954,-1.7465332999999998,-0.020292984
0.09224191300000001,-0.5153414000000001,-1.7464136000000001,0.00029194633999999996
0.06543844900000001,-0.51529592,-1.7464283999999999,-0.00032507721000000003
0.10076724,-0.51536381,-1.7464206999999998,0.00064293388
0.10377169,-0.5153625,-1.7463732,-0.0087621342
0.099778175,-0.5153603,-1.7465404999999998,-0.0086401384
0.076364726,-0.51536477,-1.7463887999999999,-0.0008343858599999999
0.064792112,-0.51544344,-1.7464612000000002,0.0091923112
0.086825341,-0.51538479,-1.7465534,0.0078427745
0.11174008,-0.51555407,-1.7464686999999999,0.0077807186
0.080114231,-0.51564372,-1.7464702,0.0077410182
0.059317797,-0.51558393,-1.7464293999999998,0.007651587
0.076215714,-0.51574105,-1.7464098000000001,0.0076451367
0.096330419,-0.5156678,-1.7464258999999998,0.0076978104
0.092118979,-0.51560962,-1.7464038,0.007685688299999999
0.078637153,-0.51565683,-1.746384,0.0075715827
0.058379024,-0.51562095,-1.7464491999999998,0.007591552099999999
0.083226711,-0.5157029000000001,-1.7464366000000002,0.007578983
0.08947029699999999,-0.51566738,-1.7464004000000002,0.0076398263
0.06348826,-0.51569438,-1.746429,0.007639874699999999
0.047957525,-0.51566482,-1.7464076000000002,0.007518933199999999
-2.8780754,-0.51689494,-1.7470876,0.007209754499999999
-6.2100067,-0.51802123,-1.7479133999999998,0.0062146643000000005
-5.1344633,-0.51777136,-1.7476473000000001,0.006540649599999999
-4.1996522,-0.51734936,-1.7473381000000001,0.0067419624
-3.6817602999999997,-0.51719809,-1.7473775000000002,0.0022585792
-3.4223254,-0.51704156,-1.7473262999999999,0.0024510407999999997
-2.4079884999999996,-0.5167073,-1.7470863,0.0025943173
-1.8353928,-0.51652133,-1.74712,-0.0033118464
-1.6536061000000002,-0.51647127,-1.7469829,-0.0069107087
-1.5297644,-0.5164175,-1.7469283,-0.010249231
-1.4129337,-0.51629376,-1.7468108,-0.011435078999999999
-1.3169925,-0.51622689,-1.7468351000000002,-0.010517862
-1.2047179,-0.5162093,-1.7468075,-0.010787665
-1.1663213,-0.51623487,-1.7467408,-0.010726115
-1.1530163999999998,-0.51615316,-1.746834,-0.010812758
-1.1520013999999998,-0.51625168,-1.7468071,-0.010733585
-1.1201054,-0.51614827,-1.7467796000000002,-0.011399204
-1.054585,-0.51621038,-1.7467616999999998,-0.014025236000000002
-1.0203458,-0.5161714,-1.7467491999999998,-0.020685956000000002
-1.0382794,-0.51617551,-1.7468153000000002,-0.025303561000000002
-1.0899136999999999,-0.51616013,-1.7468468999999998,-0.025418859
-1.0222514,-0.51615405,-1.7467456000000001,-0.025432862
-0.95668435,-0.51616871,-1.7467582,-0.025423154
-0.98988044,-0.51616043,-1.7467262,-0.025460802
-1.0627545,-0.51619494,-1.7467897000000001,-0.025511747
-1.0521971,-0.51616883,-1.7468241000000002,-0.02550628
-1.0183845,-0.51614308,-1.7467650000000001,-0.025540102000000002
-0.96555054,-0.5161159000000001,-1.7466903999999999,-0.025481548
-1.0121726,-0.51618612,-1.7467743000000002,-0.025601882000000003
-1.0115634,-0.51628393,-1.7467613000000002,-0.025539462000000002
-1.0227393,-0.51645219,-1.746788,-0.025536853999999998
-1.0005515,-0.52459818,-1.7467196,-0.025546394
-0.98557401,-0.50921035,-1.7467253,-0.025600359
-0.96906537,-0.51129299,-1.7466964,-0.025521111000000003
-1.0055247999999999,-0.51115966,-1.7467452,-0.025550416
-1.0345206,-0.51118022,-1.7467358,-0.025605466
-0.99775565,-0.51123679,-1.7221336,-0.025555115
-0.95800871,-0.51115447,-1.7355778999999998,-0.025567034
-0.99011326,-0.51116604,-1.7806456999999998,-0.02563091
-1.0046680000000001,-0.51114702,-1.1850034,-0.02555263
-1.0201129999999998,-0.51116532,-1.1246548,-0.02556292
-1.0120273000000002,-0.51122701,-1.1574419,-0.025607301000000002
-0.94979072,-0.51117361,-1.1698024999999999,-0.02558496
-0.9586252000000001,-0.51122236,-1.1538116000000003,-0.025585292000000003
-1.0267142,-0.51118845,-1.1607253999999998,-0.025653852
-1.0432396000000002,-0.51117295,-1.1625473,-0.02563725
-0.97670966,-0.51115972,-1.1623255,-0.025602899
-0.93082899,-0.51117796,-1.1623231,-0.025561142999999998
-0.98645127,-0.5111587000000001,-1.1624448,-0.025621276000000002
-1.0240618000000001,4.2587519000000004e-05,-1.1623465,4.241243e-06
-2.8563664,-0.0006950795699999999,-0.0004440546,-0.00054906495
-4.6770945,-0.0012433082000000001,-0.00078320503,-0.0010784585
-5.938665900000001,-0.0017034560000000001,-0.0009663105,-0.001533743
-8.616206199999999,-0.0027169138,-0.0016443729000000002,-0.002358105
-10.612869,-0.003340289,-0.0020670891,-0.0029366799
-12.982161999999999,-0.004187718,-0.0026714802,-0.0036591524
-15.029160999999998,-0.0048963279,-0.0033241509999999996,-0.0043349732
