Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-0.97987986,1.2663686,-0.54067016,-2.0169653999999997
-0.96927023,1.2663671,-0.5407719,-2.0170157
-0.98907387,1.2664425,-0.54070497,-2.0169332
-0.97972524,1.2662878,-0.54063934,-2.0170448
-0.99160147,1.2663647,-0.54065055,-2.0169857
-0.99507904,1.2663688999999998,-0.54069722,-2.0169802
-0.96047854,1.2663476,-0.54064548,-2.0169146000000002
-0.96237844,1.2663719999999998,-0.54067194,-2.016988
-0.99286997,1.2663741000000002,-0.54060769,-2.0170596
-0.95511603,1.2663819,-0.54062891,-2.016897
-0.96929818,1.2663870000000002,-0.54056787,-2.0169723000000004
-0.98213184,1.266392,-0.54061818,-2.0169935000000003
-0.97103232,1.2663951999999998,-0.54055864,-2.0168698
-0.96147507,1.2665048,-0.54057074,-2.0169468
-0.96745974,1.2664024999999999,-0.54064006,-2.0170472
-0.9867214,1.2664227,-0.54058319,-2.0169032
-1.0299981,1.2663753,-0.54059672,-2.0170069
-1.0289699,1.2663408999999999,-0.54058158,-2.0169816000000003
-1.0297633,1.2663598,-0.54055363,-2.0169761000000004
-1.0163225,1.266361,-0.54055995,-2.0169029
-2.5539622000000004,-0.00017538667,-8.8483095e-05,-0.0009062147599999999
-4.2086468,-0.0003733933,-0.00029474497,-0.0017287009
-6.6306133,-0.00076034665,-0.0005675852300000001,-0.0027098395
-8.520522099999999,-0.0011033117999999999,-0.00091432035,-0.0034900366
-10.492886,-0.001445055,-0.0012261346,-0.0042568711
-12.650679,-0.0019665062,-0.001570344,-0.0050016274
-14.680948,-0.0024220942999999997,-0.0020232648,-0.0057325712
-16.603801999999998,-0.0028670132,-0.0025446191,-0.0063390024
-18.521481,-0.0033403039,-0.0028846338,-0.0069211577000000005
-20.423872,-0.003806293,-0.0033467859000000004,-0.0075187166
-22.348574,-0.0042512119,-0.0037293062,-0.0081124986
-24.272497,-0.0046527684,-0.0041577518,-0.0085868789
-26.239649,-0.0051881671,-0.0046575293,-0.0092270076
-28.17437,-0.0057057738,-0.0050450116,-0.0097479448
-30.116213000000002,-0.0063059330000000005,-0.0055220947,-0.01050764
-32.066517,-0.0067333877,-0.005992926700000001,-0.011040826
-33.984722,-0.007249534100000001,-0.0064480081,-0.011476848000000001
-35.936256,-0.0077105165,-0.0069109425,-0.012154027
-37.898426,-0.0082254112,-0.00733459,-0.012674997
-39.83363,-0.008704155699999999,-0.0078450814,-0.013271493999999998
-41.764885,-0.0092895031,-0.0081884637,-0.013753939
-43.74094,-0.00977844,-0.0087607056,-0.014314683
-45.670193,-0.010324419,-0.0091131032,-0.014869694
-47.624611,-0.010858923000000001,-0.0097200423,-0.015521242
-49.555915999999996,-0.011386752,-0.010047226999999999,-0.015976425
-51.514072,-0.01190117,-0.010586783,-0.016594689
-53.456699,-0.012378275,-0.01100355,-0.017158613
-55.407382999999996,-0.013012707,-0.011557572,-0.017723348
-57.412216,-0.013563246000000001,-0.011994399,-0.018281374
-59.381485,-0.014013767,-0.012475088,-0.018736307
-61.311687,-0.014585882,-0.012906898,-0.019309763
-63.237026,-0.015135586000000001,-0.01338255,-0.019894542
-65.189728,-0.015640199,-0.013935089,-0.020426143
-67.131096,-0.016151428,-0.014337613999999999,-0.020960048000000002
-69.073204,-0.016771555,-0.014826536000000001,-0.0215501
-71.019791,-0.017309219,-0.015313275,-0.022023024
-72.96169300000001,-0.017789483000000002,-0.015719365,-0.022657814
-74.937614,-0.018299967,-0.016264074,-0.023209391
-76.872833,-0.018890142,-0.016682122,-0.023795055
-78.87116999999999,-0.019528806,-0.017234806000000002,-0.024365205
-80.809166,-0.020106763,-0.017696537,-0.024832675
-82.763245,-0.020652115,-0.018207569,-0.025444752999999997
-84.673286,-0.02114743,-0.018648587,-0.025882027999999998
-86.64278399999999,-0.021711439,-0.019072555,-0.026521878
-88.58183299999999,-0.022234648,-0.019529384,-0.026955096
-90.522003,-0.022783041,-0.020109024,-0.027613962000000002
-92.479973,-0.023326725,-0.020602591,-0.028173687000000003
-94.42585799999999,-0.023904711000000002,-0.021090772,-0.028722452000000002
-96.377762,-0.024397433,-0.021539595,-0.029234437000000002
-98.347687,-0.024942577,-0.022051342,-0.029759222999999998
-100.29182,-0.025555342,-0.022581756,-0.030487036000000002
-102.22031,-0.02609849,-0.023054134,-0.030832069
-104.19235,-0.026680559,-0.023513533,-0.03149128
-106.17581000000001,-0.027319312000000002,-0.02403779,-0.032009795
-108.12418999999998,-0.027854204,-0.024484258,-0.03252266
-110.0599,-0.028393239,-0.025008921,-0.03305665
-112.01333999999999,-0.028948843,-0.025427919,-0.033681069
-113.96973,-0.029400318999999998,-0.025965769,-0.034194008
-115.9036,-0.030051707999999996,-0.026485585,-0.034751937000000004
-117.84799,-0.030543536,-0.026983976,-0.035215087
-119.81133,-0.031055331000000002,-0.02748901,-0.035873521
-121.74616,-0.031668812000000005,-0.02797664,-0.036432777
-123.64367,-0.032217622,-0.028389837999999997,-0.03689833
-125.60734,-0.032733202,-0.02890775,-0.037491627
-127.55682,-0.033317924,-0.029360063,-0.038033727999999996
-129.54227,-0.033904821,-0.029882747999999997,-0.038590293
-131.48873999999998,-0.034471869,-0.030426758999999998,-0.039100367999999996
-133.46921,-0.035031377999999995,-0.030862149,-0.039682779
-135.40027,-0.03564316,-0.031347811,-0.040232677
