Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-1.0010674000000002,-0.00077784061,0.67291421,-0.0013368906
-1.0164361,-0.0008415579800000001,0.67291731,-0.0014073284
-0.99971145,-0.0007831454300000001,0.67292237,-0.0013951922
-0.97263229,-0.00080168247,0.67296684,-0.0013944782999999999
-1.0215603000000002,-0.0007880330099999999,0.67293072,-0.0014268416
-1.0024179,-0.00075632334,0.67293066,-0.0013159495999999998
-0.97559762,-0.00072675943,0.6730088000000001,-0.0013678260999999998
-1.0252316,-0.0007494092,0.67297822,-0.0013028615
-0.99962765,-0.00082433224,0.6729911,-0.0013307035
-0.97424722,-0.00076514482,0.67297333,-0.0013002439
-1.0010004000000001,-0.00075304508,0.67296886,-0.0013847217
-1.0029058000000002,-0.0007117390600000001,0.67296976,-0.0012942948
-0.99027526,-0.0007044076900000001,0.6730234,-0.0013452194
-1.0020118,-0.00072526932,0.6729483,-0.0013264201
-1.0128598,-0.00072443485,0.67307514,-0.0013095246
-0.99607933,-0.00065672398,0.67301428,-0.0013397462
-0.97511339,-0.00066584349,0.67306757,-0.0012133864999999998
-1.0160003,-0.0007352829,0.67298967,-0.0013366526999999998
-0.98863059,-0.00064361095,0.67298239,-0.0012212393
-0.97764099,-0.0005878210099999999,0.67299807,-0.0013673501999999999
-2.6463699,-0.00024831295,-0.00062167645,-0.0005585052400000001
-4.645053400000001,-0.00067788363,-0.0011751652,-0.0010675136
-6.2120538,-0.0010020137,-0.0016804934,-0.0015260732999999999
-8.5058002,-0.0013101101,-0.0024408102,-0.0021921389
-10.520153,-0.0017143488000000001,-0.0030836463,-0.0027135215
-12.717957,-0.0022276044,-0.0037102103000000003,-0.0034657307
-14.668194,-0.0026069879999999998,-0.0043922663,-0.0041858144
-16.55394,-0.0029079914,-0.0049057603,-0.004673406
-18.520702,-0.0033977628,-0.005509734200000001,-0.0053532738
-20.438084,-0.0037751794,-0.0060096383,-0.0058856029
-22.374475,-0.0042500496,-0.0066417456,-0.0064662388
-24.292665,-0.0047487020000000005,-0.0072270036,-0.0069590653
-26.268576,-0.0052021146,-0.0076691508,-0.0075913398
-28.193012,-0.0056059957,-0.0083372593,-0.0082067186
-30.126476,-0.0060249567,-0.0088536739,-0.008659329300000001
