Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-1.3039893999999999,0.24928045,0.05037139,0.038595669
-1.6387459,0.24930176,0.05041533,0.038393237000000004
-1.9076988999999998,0.24922574,0.050351858,0.038205765
-2.1127501,0.24915403,0.050306246,0.038014926
-2.5527346,0.24906698,0.050329562,0.037806295
-2.7649755000000003,0.24908489,0.050213121,0.037671827000000005
-3.0521007,0.24893945,0.050196267999999995,0.037475623
-3.2409092999999998,0.24895611,0.050132625,0.037323989
-3.3319387000000003,0.24894053,0.050084759000000006,0.037373817999999996
-3.8634557999999997,0.24882179,0.049882583,0.036960192
-4.1158891,0.24879038,0.049825255,0.036782615
-4.0506721,0.24880429999999998,0.049984812999999996,0.036907308
-4.0178356,0.24878377,0.049905077,0.036885805
-3.9852169,0.24878058,0.049978875,0.036833666
-4.026834,0.24885857,0.049819604,0.036841609
-3.9564947999999998,0.24888933,0.049951032,0.036944337
-3.9443877,0.24881428,0.049940877,0.036885135
-3.9324927000000005,0.24890679,0.049943414000000005,0.03684295
-3.9581881,0.24888736,0.049907627999999996,0.036905594
-3.9579047999999997,0.24884179,0.049860623,0.036880307
-5.5881085,-0.00035682321,-0.00027369015,-0.0010039955
-7.4643383000000005,-0.00086674094,-0.0008090123299999999,-0.0020927787
-9.252925900000001,-0.0014083385,-0.0012434222,-0.003023386
-11.523322,-0.0021474063000000002,-0.0018255901999999998,-0.0042397529
-13.583491,-0.0026648343,-0.0023217259,-0.005322560699999999
-15.531735999999999,-0.0032971798999999998,-0.0030007497,-0.0064020902
-17.511932,-0.0038865209000000004,-0.0036281124,-0.0073162466
-19.394526000000003,-0.0044701396999999995,-0.0040198932,-0.008238703
-21.37722,-0.005304724,-0.0047878227,-0.009141355799999999
-23.315042000000002,-0.0058631599,-0.0053719725,-0.010021806
-25.249256,-0.0065908730000000006,-0.0060726437,-0.010948032
-27.296872999999998,-0.0072822273,-0.006751384599999999,-0.011843473
-29.129164000000003,-0.007920056600000001,-0.0074819946,-0.012632608
-31.150305,-0.008618921,-0.008150191,-0.013550535
-33.168696999999995,-0.0093221664,-0.0089143319,-0.014382078999999999
-34.986622,-0.009981840799999999,-0.0095451828,-0.015159279
-36.865192,-0.010702133,-0.010205491,-0.015974969
-38.968819,-0.011435299999999999,-0.011080553,-0.016907454
-40.919033,-0.012212008,-0.011726598000000001,-0.017726585
-42.800777000000004,-0.012885869,-0.012490823,-0.018466949
-44.805584,-0.01365003,-0.013205965,-0.019310057
-46.664162,-0.014249831000000001,-0.013875617,-0.020119801
-48.612358,-0.014980555,-0.014710286999999999,-0.020851478
-50.619244,-0.015675753,-0.015410995,-0.021691762000000003
-52.562462,-0.016472191,-0.016153507,-0.02254419
-54.515926,-0.017128557,-0.016858621,-0.023413636
-56.419056000000005,-0.017813831999999998,-0.017538019,-0.024080618999999998
-58.278454,-0.01850459,-0.018231152,-0.024847582000000003
-60.368458,-0.019287437,-0.019111373,-0.025758296
-62.377697,-0.020006329,-0.019750847,-0.026550114
-64.242302,-0.020730644,-0.020542249,-0.027289717999999998
-66.212006,-0.021435171,-0.021383452999999997,-0.028129496
