Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-1.2034811,0.12075399,-0.088482395,0.014292656
-1.4104098,0.12065832,-0.08870989800000001,0.014116837
-1.4280342,0.12073953,-0.088622078,0.014209748999999999
-2.2568145,0.1205184,-0.089034826,0.013908045
-2.5589206,0.12048349,-0.08911036,0.013829125
-2.7668328,0.12044372,-0.08919183900000001,0.013814726999999999
-3.0948594,0.12026918,-0.08926902699999999,0.013604729
-3.3448582,0.12026787,-0.089327849,0.013540601000000001
-3.6457032999999996,0.12017891,-0.08953106400000001,0.013508973999999998
-3.917182,0.12007992,-0.089601576,0.013328226
-4.0089078,0.12003519,-0.089662991,0.013362767
-3.9949324,0.12002660000000001,-0.089584149,0.01334518
-3.9972682,0.12006949,-0.08960177,0.013346628999999999
-3.9582644,0.12005816,-0.089620881,0.01343477
-3.9591155,0.12002854,-0.089503445,0.013321468999999999
-3.9398725,0.12009969,-0.08968512699999999,0.013375985
-3.9765742,0.12001891,-0.08967091099999999,0.013386638999999999
-3.9195212999999995,0.12003753,-0.089546494,0.013341656
-3.9168894,0.12009387,-0.089678176,0.01343528
-3.9333534,0.12008643,-0.08961714800000001,0.013372695
-5.576666400000001,-0.00048497319000000003,-0.00069447025,-0.00049786642
-7.57269,-0.0010718852000000001,-0.0013863768,-0.0011110269
-9.661497099999998,-0.0018361658,-0.0020298904,-0.0019042827
-11.609471000000001,-0.0025550425,-0.002718467,-0.0025354660999999997
-13.553932000000001,-0.0031559467,-0.0032623278000000005,-0.0031951852
-15.499870999999999,-0.0039110482,-0.0039942907,-0.0039424263
-17.410789,-0.004557102899999999,-0.0046837935,-0.0045889132
-19.435339000000003,-0.0052957833,-0.0052620089,-0.0053508952000000005
-21.301592000000003,-0.0059219003000000004,-0.0059937937,-0.0059708692
-23.337284,-0.0066675693000000005,-0.006641414,-0.006757080600000001
-25.247688,-0.007380455699999999,-0.0073193824,-0.0073483754
-27.219328000000004,-0.0080507845,-0.0079443986,-0.007971175
-29.168115999999998,-0.0087974519,-0.0086768148,-0.0087025799
-31.107903000000004,-0.0094508827,-0.0093988059,-0.009302903000000001
-33.062527,-0.010218233,-0.010056186,-0.009995024699999999
-34.980824,-0.010778636000000001,-0.01080831,-0.010646833
-36.94014,-0.011594772,-0.011376447,-0.011308618000000001
-38.913067,-0.012336642,-0.012154261999999999,-0.012003791000000002
