Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-1.2601242,-0.2092284,-0.038878918,-0.0010473207
-1.5988368999999998,-0.20920688,-0.039243132,-0.0011725202
-1.8693506999999998,-0.20925128,-0.039174352,-0.0013133325
-2.1750796,-0.20925549,-0.039203398,-0.0015004948
-2.3134107999999998,-0.20931041,-0.039304152,-0.0015578866
-2.4721603,-0.20939767,-0.039311472,-0.0015607141
-3.0884259,-0.20949049,-0.039608218,-0.001873862
-3.4794695,-0.20958741,-0.039648678,-0.0020193942
-3.7164614,-0.20967215,-0.039847661,-0.0020977295999999998
-4.0012894,-0.20968461,-0.039992817,-0.0022909194
-3.9773827000000006,-0.20968166,-0.040011298,-0.0022158435999999997
-4.0258131,-0.20972186,-0.040034167,-0.002290532
-4.0022731,-0.20971403,-0.039998531000000004,-0.0022887848
-3.9444306000000005,-0.20979258,-0.039923797999999996,-0.0022084564000000003
-3.9802864000000002,-0.20973899999999998,-0.039953221000000004,-0.0022854321
-3.9533339,-0.20969495,-0.040050548,-0.0022203214
-3.93085,-0.20968276,-0.039927274,-0.0022286065
-3.9334259,-0.20971692,-0.040022533,-0.0022581517999999997
-3.9152297999999996,-0.20970649,-0.039935552,-0.0021765418
-3.9511602,-0.20976220000000004,-0.039951537,-0.0021999665
-5.447667099999999,-0.00046654045999999994,-0.0005489857900000001,-0.0007353425
-7.4444189,-0.001029782,-0.0014037685,-0.0015780628
-9.5648613,-0.0018284842,-0.002336706,-0.002392672
-11.597548,-0.0025782138,-0.0033003818,-0.0031427294
-13.552772000000001,-0.0032830685,-0.004084155,-0.0039116964
-15.537281,-0.0039821416,-0.0050166976,-0.0046767257
-17.457611,-0.004698135,-0.0058095735,-0.0053700358
-19.396503,-0.0053961501,-0.0065605082,-0.0062285252000000004
-21.353154999999997,-0.0060760751,-0.007378764499999999,-0.007010579100000001
-23.304935,-0.0068194047,-0.0082512312,-0.0077585541000000004
-25.225906,-0.007450543299999999,-0.0089094695,-0.0084803849
-27.220290999999996,-0.0081251115,-0.0097767394,-0.0093058236
-29.158644,-0.0088077262,-0.010457672,-0.010100781999999999
-31.097313,-0.0094759315,-0.011285016,-0.010805316
-33.066433,-0.010132059,-0.012000031999999999,-0.011628315
-34.973843,-0.010897078000000001,-0.012607288999999999,-0.012324358999999998
-36.935284,-0.011482431999999999,-0.013400863999999998,-0.013166983
-38.918236,-0.012221783,-0.014246868000000001,-0.01394124
-40.83765,-0.012899846000000001,-0.014787638999999998,-0.014686696
-42.789566,-0.013540513999999998,-0.015544342,-0.015419303999999998
-44.738262,-0.014239825,-0.016256176,-0.016193148
-46.676079,-0.014788731999999999,-0.01689663,-0.016957498999999997
-48.677895,-0.015619919,-0.01766013,-0.017745484
-50.573890999999996,-0.016168647,-0.018341668000000002,-0.01842742
-52.524387,-0.016853191,-0.018994629,-0.019286677
-54.531353,-0.017566569,-0.019805275,-0.020105056
-56.413517000000006,-0.018124633,-0.020354055,-0.02068745
-58.417232999999996,-0.018887796000000002,-0.021109752000000002,-0.021525785
-60.358788,-0.019549511000000002,-0.0218268,-0.022250238999999998
-62.325714000000005,-0.020104535,-0.022470132,-0.023033727
-64.238052,-0.020881601,-0.023167643999999998,-0.023787051
-66.17488900000001,-0.021498136,-0.023804403999999998,-0.024469521
-68.149101,-0.022162697999999998,-0.024618692999999997,-0.025287083999999998
-70.139557,-0.022872515,-0.025238227000000002,-0.02610701
-72.013695,-0.023478053999999998,-0.025794148,-0.02677549
-73.971085,-0.024157203999999998,-0.026592702000000003,-0.027627102999999997
-75.97934000000001,-0.024847604,-0.027274329,-0.02835723
-77.957298,-0.025515236,-0.027941867999999998,-0.029069502
-79.874718,-0.026158892000000003,-0.028679397000000002,-0.02986349
-81.818314,-0.026763192999999998,-0.0293414,-0.030558204
-83.755714,-0.027425505,-0.02993533,-0.031327672
-85.675163,-0.028017111,-0.030643787000000002,-0.032097284
-87.616989,-0.028749667000000003,-0.031321353999999996,-0.0328543
-89.556473,-0.029432021000000003,-0.032043159,-0.033561543
-91.634857,-0.030095703999999997,-0.032744296,-0.03442907
-93.422722,-0.03066472,-0.033289954,-0.035019271
-95.380768,-0.031428717,-0.034056708,-0.035860807
-97.382378,-0.031968765,-0.034762472,-0.036583297
-99.221336,-0.032684021,-0.035405904,-0.037216492000000004
-101.23725999999999,-0.033305384,-0.036090977,-0.037988991
-103.16648,-0.033901252,-0.036717024,-0.038730051
-105.21137,-0.034568839,-0.037448674,-0.039539501
-107.13345,-0.035284868999999996,-0.038163677,-0.040353112000000003
-109.04227,-0.035873272000000005,-0.038766887,-0.04093742
-111.03383000000001,-0.036483981,-0.03943288,-0.041783631
-112.99933,-0.037145026,-0.040073019,-0.042495668
-114.94261999999999,-0.037841089,-0.040665809,-0.043178499
