Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-0.041782856,-0.014676526,-0.24161839,0.0068993606
-0.038227066000000004,-0.014601236,-0.24159388,0.0069171186
-0.021873042000000002,-0.014609013,-0.24155395,0.0068780384
-0.0072531402,-0.01457499,-0.24159709,0.006986610600000001
0.0016074628,-0.014561583999999999,-0.24154606,0.0068932385
-0.0069383532,-0.014562437,-0.24151142,0.0068576448
-0.014482066000000002,-0.014554089,-0.24151759,0.006901840699999999
-0.023405999,-0.014641878999999998,-0.24156453,0.0068871034
-0.038303435,-0.014557893999999998,-0.24163702,0.0069221644999999995
-0.037133694,-0.014612378999999998,-0.24149787,0.0069233351
-0.042261556,-0.014659211,-0.24153516,0.0068521579
-0.024300069,-0.014570398,-0.24147789,0.006840365
-0.01526624,-0.014588656,-0.24154447,0.006904305
-0.0026617198999999998,-0.014561148000000001,-0.24152629,0.0068812226
-0.0038575381,-0.014550937,-0.24153656,0.0069489726000000005
-0.016961247,-0.014574835,-0.24151501,0.0069507211
-0.0076629220999999996,-0.01461325,-0.24143276,0.006850785600000001
-0.025736167999999997,-0.014602603,-0.24152108,0.0067697214
-0.015951693,-0.014634797,-0.24150349,0.0069258259999999995
-0.026160851000000002,-0.014580298,-0.24153204,0.0068104556
-0.032577664,2.3877248e-05,-1.8328428e-05,-1.9442125e-05
-0.054903328,6.0660765e-05,1.8581748e-05,2.8801156e-05
-11.039357,-0.0060249604,-0.010549009,-0.0038137261
-12.38567,-0.0070760362,-0.011545463999999998,-0.0045679701
-13.692364999999999,-0.007851730999999999,-0.012700766,-0.0055143363
-14.966609,-0.0087169893,-0.013607383,-0.0065068328
-16.414412,-0.0096745864,-0.01474756,-0.0074733193000000005
-17.975044,-0.010738257,-0.016045748999999998,-0.008552991800000001
-19.578579,-0.011729745,-0.017289758,-0.0096760783
-21.214903,-0.012831606,-0.018520847,-0.010823939
-23.027296,-0.014044215,-0.019905567,-0.012065661
-24.800442,-0.015246357,-0.021331608,-0.013411598
-26.633463,-0.016417522,-0.022671536000000003,-0.014809406
-28.511011,-0.017792644,-0.024013713,-0.016155809
-30.405487,-0.019079426,-0.025487274,-0.017543012
-32.320541,-0.020455217,-0.026939928999999998,-0.019106667
-34.222343,-0.021749167000000003,-0.028347611,-0.020413676000000002
-36.129925,-0.023108654,-0.029773906,-0.021852996
-38.037815,-0.024392452000000002,-0.031220436,-0.023521191
-39.931156,-0.025653467000000003,-0.032543793,-0.025014672
-41.873199,-0.026984368999999998,-0.034009159,-0.026475687
-43.812733,-0.028361262999999998,-0.035409658999999996,-0.028025562
-45.805901,-0.029823823,-0.036882296,-0.029646771000000002
-47.708996,-0.031244934,-0.038297622999999996,-0.031110247999999997
-49.63118,-0.03261954,-0.039627328999999996,-0.032719616
-51.610981,-0.034102432,-0.041095704,-0.034347475
-53.589195,-0.035521872,-0.042571247,-0.035843067
-55.499072999999996,-0.036912031,-0.043914302999999995,-0.037506397999999996
-57.496716000000006,-0.038447402,-0.045415834,-0.039002117
-59.444545999999995,-0.039804004,-0.046807557,-0.040649541000000004
-61.39271899999999,-0.041274599999999995,-0.048243403,-0.042271879000000005
-63.26953100000001,-0.042671315,-0.049590885999999994,-0.043695062
-65.180305,-0.043988518,-0.051053494000000005,-0.045320716
-67.196907,-0.045548572999999995,-0.052486792000000004,-0.046987182999999995
-69.141266,-0.047076669,-0.054013759,-0.04862133
-71.138786,-0.048509799000000006,-0.055449635,-0.050138105
-73.04744699999999,-0.050044320999999996,-0.056883872,-0.051840883
-75.03585799999999,-0.051524892,-0.058382302999999997,-0.053407509000000006
-76.95285,-0.052997305999999994,-0.059774294000000006,-0.054959722
-78.29070300000001,-0.054049230999999996,-0.060812414,-0.056146096
-76.17797900000001,-0.052876010999999994,-0.059657617999999996,-0.054823395
-74.21642299999999,-0.051583774000000006,-0.058421417999999996,-0.053571474
-72.249352,-0.05035558,-0.057256802999999995,-0.052343297999999996
-70.25945300000001,-0.049075194,-0.055998474000000006,-0.05096852
-68.185249,-0.047653481,-0.054624005999999996,-0.049470223
-66.224937,-0.046354279000000005,-0.053441942,-0.048131529000000006
-64.276909,-0.044940419,-0.052203520999999996,-0.046794735
-62.304672,-0.043731213,-0.050986499000000005,-0.04542999
-60.42298100000001,-0.042513445,-0.049763739,-0.043997549000000004
-58.47065,-0.041162252,-0.048536524000000004,-0.042668588
-56.500969,-0.039856695,-0.04720436,-0.041209403
-54.540325,-0.038531005,-0.04594712,-0.039815746
-52.611759,-0.037225842,-0.044746876,-0.038330421
-50.636139,-0.03588881,-0.043447985999999994,-0.036885727
-48.671513,-0.034566663,-0.042109519000000005,-0.035433646
-46.756565,-0.03323938,-0.040885866,-0.03410745
-44.819035,-0.031915423,-0.039516628,-0.032693627999999995
-42.879742,-0.030574458,-0.038319767000000005,-0.031054746
-40.903960999999995,-0.02918027,-0.037042931,-0.029544067
-38.929790000000004,-0.027762013,-0.0356078,-0.028123448
-36.988926,-0.026433855,-0.034343824,-0.026489807
-35.057522,-0.025058925,-0.032998651000000004,-0.024998017
-33.099831,-0.023758736000000003,-0.031636864,-0.023485687999999998
-31.168740999999997,-0.022326447000000003,-0.030222653999999998,-0.021920875
-29.217901,-0.020901825,-0.028896957999999997,-0.020512391
-27.250736,-0.019528408,-0.02741237,-0.018882233999999998
-25.304989000000003,-0.018154494,-0.025993809,-0.017324726999999998
-23.338708999999998,-0.01671165,-0.024497405,-0.015937269
-21.388405,-0.015270316,-0.023111925,-0.014305746000000001
-19.460358,-0.013929348000000001,-0.021634147000000003,-0.012837285
-17.516102,-0.012472738999999998,-0.020056859,-0.011304244
-15.549334,-0.011023471000000002,-0.018480107,-0.0098364549
-13.598969,-0.0097529013,-0.016912073,-0.008226020300000001
-11.608282,-0.0083429627,-0.015164122,-0.006674564
-9.650165600000001,-0.0069721565,-0.013524771000000001,-0.0052459417
-7.698958900000001,-0.0057131425,-0.011701733,-0.0036833135
-5.7862177,-0.0044795927,-0.009918168199999999,-0.0023045739999999998
-4.276257,-0.0034845732,-0.0083862096,-0.0014361439
-2.148278,-0.0021873489000000003,-0.0058751851,-0.00060536829
-1.3114586000000001,-0.0017534439000000002,-0.0044455677,-0.0007187799799999999
-3.4844074000000003,-0.0028977915999999996,-0.006757319,-0.0010876931
-5.006179299999999,-0.0037156828000000004,-0.0081034005,-0.0019112892000000001
-7.722467900000001,-0.0054083224,-0.010480374,-0.0036285921999999996
-9.810235,-0.0066536534999999996,-0.012111858,-0.0051196301000000005
-11.802327,-0.0079683233,-0.013634562,-0.006555919499999999
-13.783076999999999,-0.0092777442,-0.015223622,-0.007985834
-15.718557,-0.010516063999999999,-0.016792491,-0.009425913000000001
-17.657529999999998,-0.011785977,-0.018274352,-0.010756023
-19.602686,-0.013086536999999999,-0.019940525,-0.012213769
-21.571815,-0.014417008,-0.021383137000000003,-0.013702217
-23.528894,-0.015733806,-0.022855833,-0.01516285
-25.495596,-0.017051131,-0.024362966,-0.016506018
-27.420296,-0.018368421,-0.025742546,-0.018080598
-29.372101,-0.019725583,-0.027263462999999998,-0.019548772
-31.312326000000002,-0.021024462,-0.028731495,-0.020971141999999998
-33.2616,-0.022424682999999997,-0.030141354,-0.022456514
-35.237251,-0.023764692,-0.031453311,-0.023963677000000003
-37.190598,-0.025088821,-0.032963917,-0.025384832000000003
-39.135597,-0.026423363,-0.03437373,-0.027021296
-41.085419,-0.027800012000000002,-0.035764053,-0.02850619
-43.004554999999996,-0.029183496,-0.037109181,-0.029939992000000002
-44.961578,-0.030506582999999997,-0.038484647999999996,-0.031565707
-46.935421000000005,-0.031973042,-0.039885387,-0.032987747000000005
-48.92289,-0.033317089,-0.0411935,-0.034567431
-50.856667,-0.03472171,-0.042537390999999994,-0.036177997
-52.78985600000001,-0.036114587999999996,-0.043899550999999995,-0.037582282
-54.714771,-0.037430845,-0.045234620999999996,-0.039056357
-56.67365600000001,-0.038777887999999996,-0.046527937000000005,-0.040598236
-58.656937,-0.040271625,-0.04791455,-0.04211032
-60.592361,-0.041481063,-0.04929927,-0.043573614000000004
-62.55017900000001,-0.042952497,-0.050607234,-0.045128409
-64.463463,-0.044332635,-0.051879793,-0.046619453
-66.390862,-0.045552298,-0.053212523,-0.048141237
-68.361694,-0.047038615,-0.054581389,-0.049607944
-70.305717,-0.04840374,-0.055946827000000005,-0.051116365999999996
-72.26287099999999,-0.049837045,-0.057330534,-0.052522532999999996
-74.220139,-0.051272612,-0.058692992,-0.054033365
-76.15308399999999,-0.052656136,-0.060080782,-0.055577528
-77.030815,-0.053274114000000004,-0.060749887999999995,-0.05631366
-74.93539399999999,-0.052044678,-0.059516922,-0.054858763
-72.930687,-0.050787367,-0.058257759000000006,-0.053622067
-70.942116,-0.049498346,-0.056975618,-0.052255273
-69.012398,-0.048172835,-0.055800185,-0.050928626
-67.02948,-0.046900332,-0.054577574000000004,-0.04963249
-65.047928,-0.045537394,-0.053301692000000005,-0.048163224000000004
-63.053295,-0.044255644000000004,-0.051945730999999995,-0.046767708
-61.093582,-0.042891998,-0.050742641,-0.045421287000000005
-59.157261,-0.041576552999999995,-0.049556702,-0.043957472000000004
-57.24609399999999,-0.040227637000000004,-0.048260882000000005,-0.042547416
-55.277473,-0.038972028,-0.046983019,-0.04122261
-53.321362,-0.037610463999999996,-0.045753225999999994,-0.039718457
-51.343185,-0.036305044,-0.044427127000000004,-0.038279947
-49.420383,-0.035009876,-0.043122768,-0.036829486
-47.457977,-0.033683378,-0.04187718,-0.035340361
-45.504883,-0.032328732,-0.040569499,-0.033891205
-43.584679,-0.030930024,-0.039215341,-0.032417472
-41.643566,-0.029569333,-0.037904917999999996,-0.030916193999999998
-39.675003000000004,-0.028238475,-0.03658919,-0.029381212
-37.726974,-0.026846377,-0.035305857999999996,-0.027813029
-35.785038,-0.025557492,-0.033896625,-0.02633542
-33.828438,-0.02414662,-0.032571003,-0.024825476000000003
-31.898352000000003,-0.022762427000000002,-0.031225488,-0.023198619
-29.953454999999998,-0.021362787,-0.029871404,-0.021777226
-27.990130999999998,-0.019946158000000002,-0.02838245,-0.020153189
-26.02541,-0.018534737,-0.026895955,-0.018651647
-24.051208,-0.017112847,-0.025451556,-0.017093821999999998
-22.082035,-0.015665969,-0.023927554,-0.015531208000000001
-20.181097,-0.01436276,-0.022547245,-0.014106003999999998
-18.222399,-0.012954004,-0.020960793000000002,-0.012556211999999999
-16.275917,-0.011495247,-0.019427001,-0.010926866
-14.334394,-0.010153476,-0.017766893,-0.0093751112
-12.390765,-0.0088312402,-0.01618354,-0.0078244396
-10.4183,-0.0074704587,-0.014447808000000001,-0.006367018
-8.4534283,-0.006094334599999999,-0.012585788999999998,-0.0047990624
-6.5395069,-0.0048465504999999996,-0.010875866000000001,-0.0033353893
-4.6664585999999995,-0.0037472005999999998,-0.0089643598,-0.0021233452
-3.1906908,-0.0028277356,-0.0072941481999999995,-0.001271865
-0.95205939,-0.0017138160999999998,-0.0041241944,-0.0011863639
-0.74129176,-0.0016349014000000002,-0.0036073178000000003,-0.0012978198
-0.74725223,-0.0016476995999999999,-0.0035296678999999997,-0.0012213625
-0.76067632,-0.0016254876,-0.0034682751000000003,-0.0011833721
-0.82600302,-0.0015986115,-0.0034818351,-0.0011770098
-0.83975309,-0.0014998689000000002,-0.0034998208,-0.0011459508
-0.86246431,-0.0015545320000000002,-0.0033890605,-0.0011281150999999999
