Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-1.0375437,-0.10909299,0.12848502,0.055802234000000006
-1.0314323,-0.10909744,0.12843937,0.055864400999999994
-0.99211001,-0.10912357,0.12842979,0.055811293
-0.94872528,-0.10911551,0.12841441,0.055899329000000005
-1.0359511000000001,-0.10910750000000001,0.12846604,0.055853732
-1.0394789,-0.1091231,0.1283779,0.055822200999999995
-0.97293031,-0.10906988,0.12844425,0.055907778
-1.0086186,-0.10907094,0.12841883,0.055788748
-1.0462235,-0.1090749,0.12842248,0.055824779000000005
-1.0326524,-0.1090498,0.1283375,0.055799879000000004
-0.94477832,-0.10901006,0.1284896,0.055901997
-1.0483675,-0.10911851,0.12843753,0.055849783
-1.0483824000000002,-0.10907228,0.12837987,0.055893831
-0.9790715,-0.10908649,0.12854998,0.05589906099999999
-0.98794514,-0.10907158,0.12849388,0.055870347
-1.0316484000000001,-0.10912887,0.12833293,0.055821367000000004
-1.0599568000000001,-0.10912847,0.128342,0.055822812
-0.95961988,-0.10904817,0.12848900000000002,0.055928685
-0.98439121,-0.10911689999999999,0.12834319,0.055885218
-1.0789633,-0.10901643,0.12831946,0.055809103
-2.6735981,-0.00050859526,-0.00025849012,-0.0007258206599999999
-4.464416,-0.0009778291,-0.00085350819,-0.0015509129
-6.2653704,-0.0014671013,-0.0015199010000000002,-0.0022103935
-8.6674442,-0.0021498166,-0.0021476095999999997,-0.0031540245000000002
-10.512124,-0.0027583279,-0.0027745596999999996,-0.003918916
-12.61159,-0.0033243299,-0.0035306506,-0.0047112331
-14.755595999999999,-0.0040193833,-0.0042362185,-0.0055588484
-16.655622,-0.0045389235,-0.004925441500000001,-0.0061599165
-18.527288000000002,-0.0051152743,-0.005682885600000001,-0.0069709346
-20.427958,-0.0056485012,-0.0063818353,-0.007576108000000001
-22.481131,-0.006274458,-0.0072090183,-0.008363388499999999
-24.332409,-0.0068871528,-0.007876899100000001,-0.009033978
-26.210243,-0.0074678995,-0.0087653585,-0.0097079277
-28.208121999999996,-0.008045304599999999,-0.0094477097,-0.010426834
-30.220627,-0.0087183081,-0.010266913,-0.011158854
-32.139773999999996,-0.0093165264,-0.011170112,-0.011874913999999999
-33.981152,-0.009881082900000001,-0.011753403,-0.012428163999999998
-36.066292,-0.01057896,-0.012659308000000001,-0.013280027
-37.994419,-0.011192176000000002,-0.013472273,-0.013889231
-39.837261,-0.011779588,-0.014200484,-0.014586881000000001
-41.805977,-0.012354496999999999,-0.014994018000000001,-0.015351176000000001
-43.840427000000005,-0.013093587,-0.015879748,-0.01605425
-45.806637,-0.013675923000000001,-0.016689403000000002,-0.016792603
-47.604988,-0.014301553,-0.017523108,-0.017395988
-49.659335999999996,-0.014935955,-0.018348945,-0.018209592
-51.663414,-0.015699437,-0.019110152,-0.018853478
-53.591834999999996,-0.016284909,-0.019880395,-0.019628793000000002
-55.412914,-0.016878055,-0.020860361,-0.020218991000000002
-57.469727,-0.017615627,-0.021725848,-0.021002807000000002
-59.473503,-0.018252373,-0.022506962999999998,-0.021669737999999997
-61.294380000000004,-0.018935503,-0.023340639,-0.022399477999999997
