Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-1.0178052,0.36919472,0.15022717,0.031046651
-1.0255630999999998,0.36927307,0.15020482,0.031088114
-1.0172911,0.36920691,0.15030362,0.031054385
-0.99940783,0.36926818,0.15029015,0.031025916
-0.9867661,0.36922193,0.15025757,0.031071252999999997
-0.99224782,0.36921984,0.15023039,0.03108865
-1.0363906999999999,0.36914712,0.15023123,0.031074337999999996
-1.0100324,0.36917001,0.15023714,0.031045802
-0.98060441,0.36918390000000006,0.15017973,0.031048849
-0.97313523,0.36923218,0.15029246,0.03108608
-1.0285153,0.36921218,0.15019828,0.031084947
-1.0323189,0.36914402,0.15018648,0.031003341
-1.0152608,0.36915690000000007,0.15021686,0.031014256
-0.95144284,0.36922807,0.15022971,0.031055517
-0.97592735,0.36923283,0.15021609,0.031056992999999998
-1.0371674000000002,0.36923558,0.15023419,0.031044073
-1.033064,0.36913198,0.15019371,0.031020865
-0.98988044,0.36927962,0.15021589,0.031039603
-0.95105916,0.36919498,0.15028808,0.031110264
-0.9913277,0.36922193,0.15025151,0.031103328
-2.7560108,-0.00029437243999999997,-0.00059357542,-0.0006602034
-4.441950299999999,-0.0008034408099999999,-0.0011013047,-0.0013498291000000001
-6.532456900000001,-0.0013081878,-0.0017227816,-0.0020929053
-8.488074300000001,-0.0018230229999999998,-0.0024199612,-0.0029046759
-10.608917,-0.0025663972,-0.0031960562,-0.0037605502
-12.79565,-0.0031513125,-0.003937185300000001,-0.0046143793
-14.685901000000001,-0.0037741065000000003,-0.0046289363,-0.0053484365
-16.56875,-0.0042682141,-0.0053755534,-0.0060846247
-18.514694,-0.0048607588,-0.0059882998,-0.006863750500000001
-20.474712,-0.0054567307,-0.0067535373,-0.007619839200000001
-22.441479,-0.0059997588,-0.0075549758,-0.008307144
-24.326736,-0.006596595,-0.008186209,-0.009102534499999999
-26.243351,-0.0072095841,-0.008973399200000001,-0.0098916329
-28.173746,-0.007760360799999999,-0.0096415915,-0.01059138
-30.202713,-0.0083927959,-0.010399066,-0.011424325
-32.178825,-0.0090069175,-0.011214738,-0.012235455
-34.034420000000004,-0.0095617473,-0.011923116999999999,-0.012955427
-35.93008,-0.010157123,-0.012634173,-0.013639227
-37.949646,-0.010754213,-0.013455658999999998,-0.014539979
-39.975925,-0.011429742,-0.01415333,-0.015374705
-41.861202,-0.012033179,-0.015003655,-0.016062252
-43.76226,-0.012626275,-0.015715426,-0.016848058
-45.724354,-0.013227269,-0.016551755,-0.01765668
-47.698326,-0.013821200000000002,-0.017280674,-0.018405274
-49.696166999999996,-0.014472201,-0.018020166,-0.019170579
-51.632484000000005,-0.015068948,-0.018793138,-0.019989815
-53.527153000000006,-0.015691429,-0.019635566,-0.020798913999999998
-55.460987,-0.016337052,-0.020420138,-0.021526966
-57.49444200000001,-0.017016128000000002,-0.021216149,-0.022356058999999998
-59.487118,-0.017649263000000002,-0.022081407,-0.023248512000000002
-61.292542000000005,-0.018184721,-0.022872806000000002,-0.023870653999999998
-63.212864,-0.018864258999999998,-0.023576306,-0.02472179
-65.21608,-0.019568965,-0.024343847999999998,-0.025592335
-67.21927600000001,-0.020180121000000002,-0.025223533,-0.026337821
-69.152,-0.020792961000000002,-0.025842882999999997,-0.027124275
-71.059242,-0.021461084,-0.026800782999999998,-0.027911942000000002
-73.006203,-0.02204901,-0.027606147999999997,-0.028784785
-74.931793,-0.022790715,-0.028418712000000002,-0.029454671
-76.96154,-0.023458704,-0.029198928,-0.030377502999999997
-78.95517,-0.024053632999999998,-0.030076007999999998,-0.031208001000000003
-80.761505,-0.024710804,-0.030889301,-0.031868983
-82.716827,-0.025330275,-0.031651028,-0.032767706
-84.747765,-0.026034847000000003,-0.032434024,-0.033628475
-86.72608199999999,-0.026750818,-0.033278432000000004,-0.034400485
-88.641563,-0.027318627,-0.03407111,-0.035205446
-90.558723,-0.028122797999999997,-0.034908034,-0.036101818
-92.464775,-0.028666063999999998,-0.035821509,-0.036815837000000004
-94.45307199999999,-0.029371336,-0.036573928,-0.037641875
-96.468903,-0.030084416,-0.037497204,-0.038504247000000005
-98.371269,-0.030710757,-0.03822767,-0.039320622
-100.26345,-0.031417548999999996,-0.039034832,-0.040031872999999996
-102.20263,-0.032100514,-0.039862268,-0.040940791000000004
-104.25288,-0.032807454,-0.040725145,-0.041817956
-106.24986000000001,-0.033508435,-0.04164052,-0.042551942
-108.07224,-0.034192979,-0.042390242,-0.043372408
-110.04078999999999,-0.034912899,-0.043299638,-0.044227049000000004
-112.01926999999999,-0.03554754,-0.044059832,-0.04507798
-113.99715,-0.036299989,-0.044944707,-0.045825105
-115.98246999999999,-0.037075266,-0.045882888,-0.046646379
-117.85821999999999,-0.037709519,-0.046636347,-0.04749579
-119.82048999999999,-0.038397714,-0.047510467,-0.04835151099999999
-121.79948,-0.03916657,-0.048456039000000006,-0.049140718
-123.78822,-0.039851561,-0.04913697,-0.050002363
-125.72961000000001,-0.040620968,-0.05016580599999999,-0.05081515
-127.65053999999999,-0.041286841,-0.050949997999999996,-0.051673535
-129.57101,-0.041953459000000005,-0.051720422,-0.05245658
-131.54601,-0.042724565,-0.052674535999999994,-0.053282040999999995
-132.84753,-0.043228403,-0.053294562000000004,-0.053923316
-130.7726,-0.042705238,-0.052743680999999994,-0.05344696
-128.69402,-0.042102009,-0.052101083,-0.052755993
-126.71443000000001,-0.041529909,-0.051635100999999996,-0.052096285
-124.80056,-0.041067719,-0.050876707,-0.051607877
-122.91313999999998,-0.04047446,-0.050245777,-0.051036637
-120.87508000000001,-0.03985703,-0.049673256,-0.050402160999999994
-118.86063999999999,-0.039354816,-0.048915938,-0.049678519000000004
-116.93427,-0.038705303999999996,-0.048458278,-0.049090825
-115.05885,-0.038257137000000004,-0.047714934,-0.048511795999999996
-113.12299999999999,-0.037636518,-0.047036074000000004,-0.047828287000000004
-111.04314,-0.036982119,-0.046357120999999994,-0.047111452000000005
-109.08596000000001,-0.03640312,-0.045683496,-0.046466827
-107.20201000000002,-0.035776138,-0.04505517,-0.045812967999999996
-105.32048999999999,-0.035310373,-0.044403605,-0.045240164000000006
-103.28094,-0.034622565,-0.043632329000000004,-0.044497285
-101.27544,-0.033998296000000004,-0.043037198,-0.043804012
-99.34449000000001,-0.033500895,-0.042275960999999994,-0.043130439000000007
-97.479309,-0.032938153,-0.041606408,-0.042574082
-95.556656,-0.032350883,-0.040942624,-0.041799612
-93.502312,-0.031803384,-0.040176697000000004,-0.041079275
-91.55549599999999,-0.031241432000000003,-0.039557792,-0.04044614
-89.65166500000001,-0.030523941000000002,-0.038933221000000004,-0.039766948999999996
-87.70182,-0.029960483,-0.038098957,-0.039056495
-85.773239,-0.029413566000000002,-0.03740276,-0.038346484
-83.732697,-0.02873677,-0.036705729,-0.037602342999999996
-81.81437700000001,-0.028156742000000002,-0.036114503,-0.036948297000000005
-79.871674,-0.027596936000000002,-0.035290919,-0.036196813
-77.988274,-0.026961595,-0.034575745,-0.035501905
-76.047203,-0.026435405,-0.033904236000000004,-0.034862746
-73.98135400000001,-0.025813133,-0.033080563,-0.034030572
-72.057426,-0.025227755,-0.032414153,-0.033350434
-70.16091899999999,-0.024632171,-0.031770829,-0.032621719
-68.27838100000001,-0.024031833,-0.030968945,-0.0319716
-66.233147,-0.023393257999999997,-0.030253651,-0.031119231
-64.234634,-0.022778362000000003,-0.029517056,-0.030303907
-62.298092000000004,-0.022236496,-0.028618515,-0.029618796
-60.448409999999996,-0.021755457000000002,-0.027920799,-0.028920431
-58.498726,-0.021131292000000003,-0.027271971000000002,-0.028139602000000003
-56.472595,-0.020488753999999998,-0.026556557,-0.027299322
-54.497684,-0.019880831,-0.025822328,-0.026552152000000002
-52.562771,-0.019339487,-0.025038529,-0.025780513999999997
-50.707423999999996,-0.018719941,-0.024419092000000003,-0.025018573
-48.75103,-0.018076151999999998,-0.02352736,-0.02419287
-46.736244,-0.017463163,-0.022906655,-0.023420591
-44.773697,-0.01687555,-0.022098897000000003,-0.022601608
-42.831684,-0.016278878,-0.021356592,-0.021834295
-40.961258,-0.01576212,-0.02058444,-0.021038845
-38.998177,-0.015068844,-0.019836841,-0.020266991
-36.964043,-0.014492214,-0.019148435,-0.019343428
-34.968025,-0.013750926,-0.018273525,-0.018471833
-33.114208000000005,-0.013257816,-0.017613275,-0.017737158
-31.234007000000002,-0.012646988,-0.01687634,-0.016931832
-29.179522,-0.011997551,-0.016053233,-0.015943818000000002
-27.188482,-0.011396959,-0.015360916,-0.015168767
-25.282488,-0.010758041999999999,-0.01460432,-0.014311913
-23.343819,-0.010163351999999999,-0.013808398999999999,-0.013390571
-21.449351999999998,-0.0095315576,-0.013135046000000001,-0.012568321
-19.436953,-0.0088758022,-0.012371637,-0.011711113
-17.501524,-0.0081919134,-0.011624945,-0.01081514
-15.541707999999998,-0.0075440556,-0.010901233,-0.0099242255
-13.681066,-0.0068871826,-0.010197033000000001,-0.0091176629
-11.698692999999999,-0.0062315910999999995,-0.0095227277,-0.0081123039
-9.6871977,-0.0055086911,-0.0087027727,-0.0071964003
-7.753943,-0.0048664063,-0.0078890948,-0.0062995702
-5.804449099999999,-0.0042243898,-0.0073306337,-0.005336117
-3.9327237999999998,-0.0034298896999999996,-0.0068417038000000005,-0.0044670999
-5.7533364,-0.0039387196000000005,-0.0071923165,-0.0051588342
-7.6942377,-0.0045080036,-0.0078852419,-0.0058255009
-9.706691699999999,-0.0051741749,-0.0084339464,-0.0066692829
-11.751011,-0.0057071000000000005,-0.0091455672,-0.0073379539
-13.745080999999999,-0.0062392354,-0.009954040899999999,-0.0081249475
-15.674997,-0.0068787931999999994,-0.010581541000000002,-0.0088738948
-17.570273999999998,-0.0074103028,-0.01121096,-0.0095852725
-19.555326,-0.008037284,-0.011963363000000001,-0.010367207
-21.592779,-0.0086359829,-0.01277713,-0.01119069
-23.542676999999998,-0.0093175024,-0.01340237,-0.011903308000000001
-25.44536,-0.0098565817,-0.014070593000000001,-0.012625497
-27.351378999999998,-0.010343567,-0.014828527,-0.013339963
-29.333138,-0.011010915,-0.015567545,-0.014064736999999999
-31.373340999999996,-0.011593685,-0.016261423,-0.01494373
-33.274066999999995,-0.012082517,-0.017039584,-0.015631385
-35.181232,-0.012791038000000001,-0.017757185,-0.016364953999999998
-37.130096,-0.013385326000000001,-0.018341999999999997,-0.017137371000000002
-39.091675,-0.014017016,-0.019212091,-0.017882824
-41.112784999999995,-0.014627814,-0.019871673,-0.018647425
-43.01424,-0.015120223,-0.020585123,-0.019369867
-44.925728,-0.015725106000000003,-0.021292996,-0.020150486000000002
-46.884178000000006,-0.016387433,-0.022091637999999997,-0.020967782
-48.855953,-0.017050922,-0.022850437,-0.02163671
-50.878494,-0.017560422,-0.023573689,-0.022474431
-52.79356800000001,-0.018143252,-0.024344592999999998,-0.023208026
-54.646618000000004,-0.018783957,-0.025182039,-0.023871372999999998
-56.626647999999996,-0.019344375,-0.025842452000000002,-0.024670646
-58.653960999999995,-0.020075247,-0.02661767,-0.02547301
-60.607727000000004,-0.020578563,-0.027343762999999997,-0.026161585
-62.500679000000005,-0.021256939,-0.028088149,-0.026932061
-64.395889,-0.02185972,-0.028802163999999998,-0.027683601000000002
-66.375748,-0.022438735,-0.029612867,-0.028499246000000002
-68.42488900000001,-0.023078293,-0.030358667000000002,-0.029289771000000003
-70.320061,-0.023643509,-0.031012865,-0.029999729
-72.22148100000001,-0.024278,-0.031859412999999996,-0.030712467
-74.150154,-0.024840727000000003,-0.032619014,-0.031490858999999996
-76.11969,-0.025415525,-0.033324879,-0.032217667
-78.144318,-0.026093498,-0.034156956,-0.0329904
-80.114716,-0.026716173,-0.034894574,-0.033769134
-81.956818,-0.027229622000000002,-0.035542272,-0.034438372
-83.893555,-0.02786392,-0.036479946,-0.035267903999999996
-85.93431899999999,-0.028467878999999998,-0.03715596,-0.036012173
-87.864952,-0.029182642999999998,-0.037893668,-0.036750883
-89.763962,-0.029777959,-0.038737137000000005,-0.03751386
-91.707817,-0.030399263,-0.039571252,-0.038288519
-93.624092,-0.031045048999999998,-0.040193725,-0.038948118999999996
-95.654549,-0.031720772,-0.041092388,-0.039749946
-97.653442,-0.032322079,-0.041878112,-0.040571481
-99.529198,-0.032926008,-0.042577047,-0.041240674
-101.45081,-0.033531322999999995,-0.043326117000000004,-0.041960169000000005
-103.44279,-0.034108013,-0.044198750999999994,-0.042752742999999996
-105.42912,-0.034728973999999996,-0.044861205,-0.043370821
-107.41818,-0.035434022999999995,-0.045638565,-0.044197343
-109.28302,-0.036108196,-0.046447057,-0.044985965
-111.19378,-0.036715567000000005,-0.047245033,-0.04565146900000001
-113.20703,-0.037310943,-0.047922097000000004,-0.046454512
-115.21328999999999,-0.037945047,-0.048753414,-0.047207765
-117.11391,-0.038572297,-0.049513935999999995,-0.047868505
-119.00679,-0.039228335,-0.050198343,-0.04864331
-120.97233999999999,-0.039876819,-0.05092673,-0.049391367
-122.95416999999999,-0.040540069,-0.051822602999999995,-0.050118141
-125.00504,-0.041249678,-0.052682448,-0.050879787999999995
-126.85798999999999,-0.041869089,-0.053388002999999996,-0.051574394
-128.74397,-0.042539224,-0.054130819000000004,-0.052340645
-130.74194,-0.043193907000000004,-0.055004783,-0.053129780999999994
-131.53978,-0.043471023,-0.055343817999999996,-0.053459529000000006
-129.5778,-0.042961419,-0.054823662999999995,-0.052888919000000006
-127.5415,-0.042448848,-0.054164894000000005,-0.052365083
-125.45553999999998,-0.041814327000000005,-0.053354464000000004,-0.051618810999999994
-123.53188,-0.041306421,-0.052843827999999995,-0.051046573
-121.65886,-0.040651292,-0.052201199999999996,-0.05046048
-119.67146000000001,-0.040130571000000004,-0.051489498,-0.049757194000000005
-117.64101000000001,-0.039481044,-0.050846148,-0.049180277
-115.70483,-0.038917899,-0.050159237999999995,-0.048560545
-113.73952,-0.038365453,-0.04954702,-0.047831472
-111.86068,-0.037786797000000004,-0.048846636,-0.047242973
-109.89112,-0.037239283,-0.048158657,-0.04657721099999999
-107.84245,-0.036578967999999996,-0.047464386,-0.04583929900000001
-105.91123,-0.036020741,-0.046763778,-0.045179135999999995
-104.03336,-0.035428762,-0.046091516,-0.044571053
-102.1133,-0.034897894,-0.045408702999999995,-0.043852485999999996
-100.09391,-0.034276351000000004,-0.044747077,-0.043190222
-98.142418,-0.033696026000000004,-0.044038884,-0.042605519
-96.16951,-0.033075854,-0.043343837999999996,-0.041782192999999995
-94.27668800000001,-0.032496974,-0.042718451,-0.041221794
-92.39852900000001,-0.031937942000000004,-0.041974772,-0.040579796
-90.301445,-0.031348616,-0.041262854,-0.039771322000000005
-88.345161,-0.0307872,-0.04055335,-0.039099976
-86.441971,-0.030117974,-0.039835036000000004,-0.038446914
-84.51255,-0.029516459,-0.039094474,-0.03767851
-82.600189,-0.028967395,-0.03847383,-0.037059098
-80.597488,-0.028260961,-0.037771977000000005,-0.036317006
-78.589836,-0.027661711000000002,-0.036914781,-0.035542566
-76.720558,-0.027140677000000002,-0.036216367,-0.034891538
-74.821381,-0.02655147,-0.035595249,-0.034182169
-72.791496,-0.025921002000000002,-0.034773093,-0.033353478
-70.79908,-0.025311515,-0.03406202,-0.032664772
-68.862495,-0.02473782,-0.03334146,-0.03193688
-67.000923,-0.024218634,-0.032624695,-0.031211602999999997
-65.114403,-0.023633435,-0.031923112000000003,-0.030521872999999998
-63.053501000000004,-0.023018524,-0.031120573999999998,-0.029689755
-61.085304,-0.022390887,-0.030299116,-0.028948683
-59.212341,-0.021829902999999998,-0.02947583,-0.028240312000000004
-57.250977,-0.021199822000000004,-0.028844373,-0.02733621
-55.320415000000004,-0.020655647,-0.028133584,-0.02666527
-53.307667,-0.020039231,-0.02733063,-0.02586564
-51.292339,-0.019334495,-0.026581781000000002,-0.025031742000000003
-49.41172,-0.018814236,-0.025881106,-0.024379525
-47.5215,-0.01830481,-0.025049937999999997,-0.023495667
-45.569904,-0.017543912,-0.024315903,-0.022753321
-43.565689,-0.0170075,-0.023603925,-0.021998059
-41.536747,-0.016328022,-0.022702287999999998,-0.021066867000000003
-39.648975,-0.015730202,-0.021887807000000002,-0.020281948
-37.775490000000005,-0.015195638000000001,-0.021267757,-0.01953027
-35.772892,-0.014487475,-0.020547302,-0.018645818999999998
-33.785641,-0.013926253000000001,-0.019614462,-0.017845128000000002
-31.832653000000004,-0.013322978999999999,-0.018910768,-0.017012861
-29.93553,-0.012715101000000001,-0.018181864,-0.016235184
-28.028178999999998,-0.011995628000000001,-0.017384576000000002,-0.015407763
-25.998825,-0.01140666,-0.016637186,-0.01451429
-24.045795000000002,-0.010798693,-0.015804484,-0.013695285
-22.061598,-0.010159194,-0.015063236,-0.012776256000000001
-20.219535999999998,-0.0096125305,-0.014384945,-0.012026552
-18.314392,-0.0089278072,-0.013548659,-0.01115698
-16.370932,-0.0082031339,-0.012780894,-0.010248702
-14.394257999999999,-0.0076049417,-0.011984363,-0.009474020500000001
-12.412051,-0.0068740398,-0.011334821,-0.008473739000000001
-10.519281,-0.0062208772,-0.010537815,-0.0076270141
-8.5580597,-0.0055447221,-0.0097904392,-0.0068148747
-6.5737219,-0.0048122257,-0.0090492954,-0.0058683902
-4.624568,-0.0040853471,-0.008368506099999999,-0.005033318
-3.8145092000000003,-0.0036966652,-0.007970716800000001,-0.0045450329999999995
-3.9250328999999997,-0.0037307739,-0.007921294300000001,-0.0045378506
-3.9430504,-0.0036821365,-0.007960290600000001,-0.0044663921
-3.9650612,-0.0037069917,-0.0079239262,-0.0045072995
-3.9560013,-0.0036525726,-0.0078138076,-0.0044228435
-3.9962177000000003,-0.0035963953,-0.0078725852,-0.004437524799999999
-3.8301721,-0.0035775453000000002,-0.0078543667,-0.0042602532
