time [s],Force [kN],Transducer [mm]
27.039063,-1.6480554,-0.0024199485999999997
27.239258000000003,-2.4951751,-0.0066287816000000005
27.439453000000004,-3.2915921000000004,-0.0099651515
27.639647999999998,-4.0642824,-0.012987852
27.839844,-4.818456200000001,-0.017101318
28.040039,-5.1044822,-0.019064546
28.240234,-5.805809,-0.021456927
28.44043,-6.948989900000001,-0.02578944
28.640625,-7.919746400000001,-0.029408187000000002
28.84082,-8.697854,-0.032333285
29.041016,-9.478816,-0.035525858
29.241211,-10.229322,-0.037697703
29.441406,-11.022233,-0.040789694
29.641602000000002,-11.878732000000001,-0.043646990999999996
29.841796999999996,-12.729486,-0.045866519
30.041991999999997,-13.559829,-0.048986822
30.242188,-14.418951000000002,-0.051028280999999995
30.442383000000003,-15.219892999999999,-0.053597987
30.642578000000004,-15.949257000000001,-0.055458397
30.842772999999998,-16.766607,-0.058183074
31.042969,-17.563254999999998,-0.059951097
31.243164,-18.290176000000002,-0.061974674
31.443359,-19.058443,-0.063810498
31.643555,-19.834167,-0.066155195
31.84375,-20.621948,-0.068479031
32.043945,-21.374741,-0.070438534
32.244141,-22.144981,-0.072618574
32.444336,-22.948407999999997,-0.074150413
32.644531,-23.710939,-0.07588639900000001
32.844727,-24.51276,-0.078236312
33.044922,-25.287232999999997,-0.079795718
33.245117,-26.031198999999997,-0.08219704
33.445313,-26.841079999999998,-0.083442777
33.645508,-27.623093,-0.08558929
33.845703,-28.404669000000002,-0.087296963
34.045898,-29.159212,-0.088950247
34.246094,-29.922103999999997,-0.09076595300000001
34.446289,-30.745163,-0.092682242
34.646484,-31.506921999999996,-0.094595551
34.84668,-32.221947,-0.096425414
35.046875,-33.053864000000004,-0.098010153
35.24707,-33.855068,-0.09956136300000001
35.447266,-34.653755,-0.10128617
35.647461,-35.457279,-0.10304824
35.847656,-36.210471999999996,-0.10501221
36.047852,-36.994831,-0.10640845
36.248047,-37.7771,-0.10791048
36.448242,-38.587658000000005,-0.10972768
36.648438,-39.359024,-0.11152774
36.848633,-40.068378,-0.11283904
37.048828,-40.900551,-0.11431053
37.249023,-41.645058,-0.11608899
37.449219,-42.461281,-0.1178816
37.649414,-43.244228,-0.11931583
37.849609,-44.00631,-0.12043417
38.049805,-44.794140000000006,-0.12203753
38.25,-45.558871999999994,-0.12389123
38.450195,-46.353451,-0.12552813
38.650391,-47.111088,-0.12741461
38.850586,-47.855156,-0.12867525
39.050781,-48.665248999999996,-0.13008863
39.250977,-49.462955,-0.13142452
39.451172,-50.216225,-0.13331398
39.651367,-51.028296999999995,-0.13461262
39.851563,-51.814735,-0.1359649
40.051758,-52.579563,-0.13751164
40.251953,-53.360046,-0.13876557
40.452148,-54.147663,-0.14017075
