time [s],Force [kN],Transducer [mm]
41.881836,-1.3174656999999999,-0.0070869923
42.082031,-2.2929162999999995,-0.019342452
42.282227,-2.8095002,-0.024362652999999998
42.482422,-3.0724182,-0.02695024
42.682617,-4.509913,-0.034682452999999995
42.882813,-5.539609,-0.04119128
43.083008,-6.2833538,-0.044564158
43.283203,-6.982900099999999,-0.048161298
43.483398,-7.9178809999999995,-0.051898509
43.683594,-8.8764381,-0.055922568
43.883789,-9.7997541,-0.05985349400000001
44.083984,-10.606614,-0.062915683
44.28418,-11.382484,-0.06629228599999999
44.484375,-12.164045,-0.068520755
44.68457,-12.90485,-0.071132183
44.884766,-13.759203,-0.073801726
45.084961,-14.474743,-0.076248497
45.285156,-15.165992000000001,-0.078789145
45.485352,-15.99792,-0.08100792799999999
45.685547,-16.747713,-0.083074719
45.885742,-17.637684,-0.085776299
46.085938,-18.298281,-0.088588893
46.286133,-19.045332000000002,-0.08991211699999999
46.486328,-19.917742,-0.09268075199999999
46.686523,-20.518606,-0.094216317
46.886719,-21.476788,-0.09626671699999999
47.086914,-22.129194000000002,-0.09787455199999999
47.287109,-22.998644,-0.10090619
47.487305,-23.674391,-0.10261387
47.6875,-24.485123,-0.10463968
47.887695,-25.403141,-0.10706186
48.087891,-26.222765000000003,-0.10885596
48.288086,-26.797728000000003,-0.11144355
48.488281,-27.562426000000002,-0.11239946
48.688477,-28.36928,-0.1147069
48.888672,-29.307236,-0.11625066
49.088867,-30.092024,-0.11857525
49.289063,-30.777485,-0.12005791
49.489258,-31.408317999999998,-0.12151301
49.689453,-32.370810999999996,-0.12356937
49.889648,-33.161999,-0.12570545
50.089844,-33.857239,-0.12718886
50.290039,-34.647255,-0.12931898
50.490234,-35.476372,-0.13110414
50.69043,-35.994896000000004,-0.13240427
50.890625,-36.861488,-0.13432950000000002
51.09082,-37.685898,-0.13613105
51.291016,-38.568264,-0.13838559
51.491211,-39.286854,-0.14005079999999998
51.691406,-40.18861,-0.14176889999999998
51.891602,-40.903698,-0.14360026
52.091797,-41.629795,-0.14460459
52.291992,-42.414207,-0.14670938
52.492188,-43.135653999999995,-0.14857426
52.69238299999999,-44.023975,-0.15031621
52.892578,-44.785892,-0.15161037
53.092773,-45.56897,-0.15378669
53.29296899999999,-46.393513,-0.15498474
53.493164,-47.117053999999996,-0.15645847
53.693358999999994,-47.952858,-0.15865415
53.893555000000006,-48.698219,-0.15974268
54.09375,-49.498965999999996,-0.16179904
54.293944999999994,-50.42667,-0.1637131
54.494141000000006,-51.190585999999996,-0.16472936
54.694336,-51.876415,-0.16648993
54.89453100000001,-52.60054399999999,-0.16836077
55.094727,-53.35826899999999,-0.16980842
55.294922,-54.195503,-0.17111674
55.49511700000001,-54.941299,-0.17243624
55.695313,-55.747890000000005,-0.17398521
55.89550799999999,-56.523254,-0.17595962
56.095703,-57.299149,-0.17800257
56.295898,-58.105518000000004,-0.17900318
56.49609399999999,-58.843678000000004,-0.18097684
56.696289,-59.484646,-0.18180385
56.896483999999994,-60.262417000000006,-0.18328652
57.096680000000006,-61.227016000000006,-0.18542111
57.296875,-61.999355,-0.18660128
57.497069999999994,-62.761051,-0.18819571
57.697266000000006,-63.493233,-0.18961951
57.897461,-64.25730899999999,-0.19050017
58.09765600000001,-65.130234,-0.19264296
58.297852,-65.93982700000001,-0.19421875
58.498047,-66.71530200000001,-0.19552335
58.69824200000001,-67.380928,-0.19691661
58.898438,-68.159447,-0.19898489
59.09863299999999,-68.94162800000001,-0.19968376
59.298828,-69.814644,-0.20158291
59.499023,-70.70871,-0.20336658
59.69921899999999,-71.242439,-0.20411313
59.899414,-72.069611,-0.20622686
60.099608999999994,-72.775375,-0.20752475
60.299805000000006,-73.674309,-0.20878464
60.5,-74.51696,-0.21013394
60.700194999999994,-75.291054,-0.21137670000000003
60.900391000000006,-75.866058,-0.21323040000000001
61.100586,-76.64948299999999,-0.21464378
61.30078100000001,-77.437294,-0.21557733
61.500977,-78.262238,-0.21748543
61.701172,-78.93940699999999,-0.21886528
61.90136700000001,-79.895309,-0.22034198
62.101563,-80.479393,-0.22179633
62.30175799999999,-81.507896,-0.22307858
62.501953,-82.17498,-0.22406578
62.702148,-83.037712,-0.22552833
62.90234399999999,-83.714088,-0.22715852
63.102539,-84.486214,-0.22877678
63.302733999999994,-85.495064,-0.23072958
63.502930000000006,-86.264664,-0.23173615
63.703125,-87.035393,-0.23331419
63.903319999999994,-87.85585,-0.2341181
64.103516,-88.289024,-0.23579970000000003
64.30371099999999,-89.192123,-0.23678020000000002
64.503906,-89.886673,-0.23826212
64.704102,-91.05070500000001,-0.24024844
64.904297,-91.547493,-0.24101734
65.10449200000001,-92.364471,-0.24254024
65.304688,-93.078209,-0.24341345
65.50488299999999,-93.886414,-0.24530739
65.705078,-94.679817,-0.24642721
65.905273,-95.44858599999999,-0.24748072
66.105469,-96.244186,-0.24887994
66.30566400000001,-96.89110600000001,-0.24994835
66.505859,-98.008736,-0.25224462
66.706055,-98.738075,-0.25311038
66.90625,-99.374397,-0.25454983
67.106445,-100.09926999999999,-0.25549679999999997
67.306641,-100.90287,-0.25727451
67.50683599999999,-101.73701,-0.25834218
67.707031,-102.55454,-0.25961623
67.907227,-103.38369,-0.26142001
68.107422,-103.96333,-0.26254579
68.30761700000001,-104.6926,-0.26343986
68.507813,-105.44333999999999,-0.26474074
68.70800799999999,-106.38023000000001,-0.26650354
68.908203,-107.27775,-0.26775971
69.108398,-107.96765,-0.26875287
69.308594,-108.69112,-0.27024001
69.50878900000001,-109.6758,-0.27161464
69.708984,-110.33679,-0.27269423
69.90918,-111.43288999999999,-0.27443469
70.109375,-111.95721999999999,-0.27492717
70.30957,-112.69301999999999,-0.27627647
70.509766,-113.33703,-0.27711764
70.70996099999999,-114.17347,-0.27873367
70.910156,-114.98201999999999,-0.28078482
71.110352,-115.84248000000001,-0.28222725
71.310547,-116.6096,-0.28304979
71.51074200000001,-117.36425,-0.28402284
71.710938,-118.10896000000001,-0.28510243
71.91113299999999,-118.9082,-0.28604269
72.111328,-119.89728999999998,-0.28832108
72.311523,-120.35139,-0.28880239
72.511719,-121.17255,-0.28999522
72.71191400000001,-122.06719,-0.29156581
72.912109,-122.91148000000001,-0.29218495
73.112305,-123.56528,-0.29390007
73.3125,-124.30066000000001,-0.29473156
73.512695,-125.06636,-0.29646605
73.712891,-125.95138999999999,-0.29756799
73.91308599999999,-126.71162,-0.29840246
74.113281,-127.60411,-0.29990897
74.313477,-128.36942,-0.30176416
74.513672,-129.08018,-0.30226707
74.71386700000001,-129.96991,-0.30403286
74.914063,-130.75175,-0.30481219
75.11425799999999,-131.56819,-0.30620024
75.314453,-132.17383999999998,-0.30704141
75.514648,-132.88707,-0.30811206
75.714844,-133.60513,-0.30987337
75.91503900000001,-134.55302,-0.31092614
76.115234,-135.48941000000002,-0.31239465
76.31543,-136.12041000000002,-0.31320527
76.515625,-136.8634,-0.31454489
76.71582,-137.57941,-0.31581223
76.916016,-138.53101999999998,-0.31682029
77.11621099999999,-139.19617,-0.31802207
77.316406,-140.00444,-0.31918362
77.516602,-140.7962,-0.32035559
77.716797,-141.46646,-0.32145381
77.91699200000001,-142.47933999999998,-0.32292381
78.117188,-143.17592,-0.32384992
78.31738299999999,-143.91571000000002,-0.32509342
78.517578,-144.6122,-0.32577217
78.717773,-145.37333999999998,-0.32751188
78.917969,-146.14626,-0.32801554
79.11816400000001,-147.0919,-0.32954291
79.318359,-147.90042,-0.33057258
79.518555,-148.4985,-0.33200532
79.71875,-149.28368999999998,-0.33352599
79.918945,-150.09441,-0.33481643
80.119141,-150.98592,-0.33535734
80.31933599999999,-151.78831,-0.33698156
80.519531,-152.59627,-0.33778027
80.719727,-153.25832,-0.33880398
80.919922,-153.86494,-0.34006759999999997
81.12011700000001,-154.69075,-0.34147203
81.320313,-155.55366999999998,-0.34261122
81.52050799999999,-156.51411000000002,-0.34312159
81.720703,-157.24542,-0.34485161
81.920898,-158.05725,-0.34615993
82.121094,-158.66214,-0.34690946
82.32128900000001,-159.63521,-0.34784675
82.521484,-160.40736,-0.34955814
82.72168,-161.10316,-0.35052523
82.921875,-161.75375,-0.35183355
83.12207,-162.79204,-0.35294965
83.322266,-163.65044,-0.35438612
83.52246099999999,-164.2625,-0.35471842
83.722656,-164.98039,-0.35599098
83.922852,-165.73039,-0.35706088
84.123047,-166.77675,-0.35898909
84.32324200000001,-167.27275,-0.35964549
84.523438,-168.18246000000002,-0.36104172
84.72363299999999,-168.8764,-0.36179945
84.923828,-169.59554,-0.36238506
85.124023,-170.28285,-0.36381036
85.324219,-171.33815,-0.36540776
85.52441400000001,-172.09891000000002,-0.36589354
85.724609,-172.79828999999998,-0.36729425
85.924805,-173.6124,-0.36923438
86.125,-174.14536999999999,-0.36936775
86.325195,-175.03069,-0.37042648
86.525391,-175.96463,-0.37146807
86.72558599999999,-176.537,-0.37256479
86.925781,-177.4567,-0.37443563
87.125977,-178.32985,-0.37538558
87.326172,-178.97647,-0.3760092
87.52636700000001,-179.90308000000002,-0.37759766
87.726563,-180.56258,-0.37846044
87.92675799999999,-181.44141000000002,-0.37985668
88.126953,-182.05063,-0.3805235
88.327148,-182.92438,-0.38147792
88.527344,-183.73273999999998,-0.38288012
88.72753900000001,-184.51334,-0.3838107
88.927734,-185.27406000000002,-0.38505867
89.12793,-186.06876,-0.38653836
89.328125,-186.83913,-0.38764849
89.52832,-187.6185,-0.38818866
89.728516,-188.54536000000002,-0.38963854
89.92871099999999,-189.23273999999998,-0.39085895
90.128906,-190.00795,-0.39148107
90.329102,-190.71515,-0.39257407
90.529297,-191.40403999999998,-0.39393455
90.72949200000001,-192.19898999999998,-0.39449781
90.929688,-193.08493,-0.39601326
91.12988299999999,-193.67799,-0.3966406
91.330078,-194.58148,-0.39799586
91.530273,-195.44965,-0.39948151
91.730469,-196.31131000000002,-0.40044114
