time [s],Force [kN],Transducer [mm]
40.069336,-1.5071332,-0.0040799378999999995
40.269531,-2.4252403,-0.0095486641
40.469727,-3.0571966,-0.01424402
40.669922,-3.2694321,-0.015254318999999999
40.870117,-4.6542902,-0.022757053
41.070313,-5.6885071,-0.028610228999999997
41.270508,-6.2518249,-0.032150745
41.470703,-6.971886200000001,-0.036308169
41.670898,-7.933737799999999,-0.040671228999999996
41.871094,-8.8895454,-0.045050680999999995
42.071289,-9.7198858,-0.048935413
42.271484,-10.387528999999999,-0.051563977999999996
42.47168,-11.274984,-0.055652857
42.671875,-12.138092,-0.058372319000000006
42.87207,-12.907580000000001,-0.061380863
43.072266,-13.676810999999999,-0.064304471
43.272461,-14.465907000000001,-0.06750375
43.472656,-15.20241,-0.069826841
43.672852,-16.030442999999998,-0.072476268
43.873047,-16.732719,-0.074984133
44.073242,-17.592926000000002,-0.077491999
44.273438,-18.418926000000003,-0.08044242900000001
44.473633,-19.069351,-0.082576275
44.673828,-19.775049,-0.084397197
44.874023,-20.770798000000003,-0.08786469699999999
45.074219,-21.508343,-0.089551508
45.274414,-22.161576999999998,-0.09176433099999999
45.474609,-22.883959,-0.094509125
45.674805,-23.664257,-0.09640604300000001
45.875,-24.656399,-0.099642575
46.075195,-25.302001999999998,-0.10115504
46.275391,-25.940989000000002,-0.10301024
46.475586,-26.851753000000002,-0.10549575
46.675781,-27.630875,-0.10756552
46.875977,-28.503436999999998,-0.10925829
47.076172,-29.223429,-0.11244267
47.276367,-30.025469,-0.11424422
47.476563,-30.784019,-0.11660755
47.676758,-31.463207,-0.118047
47.876953,-32.234818,-0.12053549
48.077148,-33.106606,-0.12286901
48.277344,-33.873917,-0.12436658
48.477539,-34.621513,-0.12674183
48.677734,-35.379463,-0.12910068
48.87793,-36.271865999999996,-0.13135076
49.078125,-36.914116,-0.13309121
49.27832,-37.772304999999996,-0.13470799
49.478516,-38.578765999999995,-0.13700873
49.678711,-39.325573,-0.13930351
49.878906,-40.186690999999996,-0.14108866
50.079102,-40.783253,-0.14183223
50.279297,-41.628414,-0.14428496
50.479492,-42.395317,-0.14621466
50.679688,-43.208015,-0.14794618
50.879883,-43.953228,-0.15057325
51.080078,-44.87912,-0.15188009
51.280273,-45.533592,-0.15419573
51.480469,-46.214741,-0.15610307
51.680664,-47.12635,-0.15795231
51.880859,-47.993072999999995,-0.15992373
52.081055,-48.864189,-0.16210973
52.28125,-49.259506,-0.1631543
52.481444999999994,-50.158359999999995,-0.16536564
52.681641000000006,-51.030224,-0.16788989
52.881836,-51.756264,-0.1690194
53.08203100000001,-52.652374,-0.17133504
53.282227,-53.371738,-0.17311573
53.482422,-54.217247,-0.1746729
53.68261700000001,-54.986088,-0.17641783
53.882813,-55.75018299999999,-0.17833859
54.08300799999999,-56.388256000000005,-0.1799807
54.283203,-57.160233,-0.18192083
54.483398,-57.975818999999994,-0.18421561
54.68359399999999,-58.768715,-0.18486529999999998
54.883789,-59.610161,-0.18634647
55.083983999999994,-60.422259999999994,-0.18949956
55.284180000000006,-61.335838,-0.19069463
55.484375,-62.003311,-0.19249171
55.684569999999994,-62.615162,-0.19444376
55.884766000000006,-63.407990000000005,-0.19547641
56.084961,-64.195488,-0.19814968
56.28515600000001,-64.926361,-0.19956529
56.485352,-65.884598,-0.20140707
56.685547,-66.642227,-0.20307451
56.88574200000001,-67.38290400000001,-0.20450056
57.085938,-68.184593,-0.20581782
57.28613299999999,-69.045479,-0.20860732
57.486328,-69.731659,-0.20946562
57.686523,-70.518776,-0.21093637
57.88671899999999,-71.287338,-0.21290630000000002
58.086914,-72.082535,-0.21529794
58.287108999999994,-72.819138,-0.21654665
58.487305000000006,-73.671898,-0.21906048
58.6875,-74.453201,-0.21985918
58.887694999999994,-75.24041700000001,-0.22133440000000001
59.087891000000006,-76.12429,-0.22397488
59.288086,-76.619118,-0.22450536
59.48828100000001,-77.423233,-0.22622049
59.688477,-78.300529,-0.22879541
59.888672,-79.022697,-0.22930801
60.08886700000001,-79.81678000000001,-0.23112744
60.289063,-80.643715,-0.23283511
60.48925799999999,-81.27082800000001,-0.23510456
60.689453,-82.27583299999999,-0.23659468
60.889648,-83.113976,-0.23847669
61.08984399999999,-83.946732,-0.24038553
61.290039,-84.58918,-0.24151355
61.490233999999994,-85.336174,-0.24254322
61.690430000000006,-86.099739,-0.24461746
61.890625,-86.83854699999999,-0.24574548
62.090819999999994,-87.543449,-0.24741143
62.291016000000006,-88.556671,-0.24951249
62.491211,-89.188225,-0.25089829999999996
62.69140600000001,-90.020607,-0.25276839999999995
62.891602,-90.73009499999999,-0.25400221
63.091797,-91.58375500000001,-0.25601834
63.29199200000001,-92.43695100000001,-0.25764555
63.492188,-93.098145,-0.25884509
63.69238299999999,-93.939697,-0.26050955
63.892578,-94.661919,-0.26231557
64.092773,-95.420906,-0.26379228
64.292969,-96.303848,-0.26512444
64.49316400000001,-96.842102,-0.26656836
64.693359,-97.82016800000001,-0.26898086
64.893555,-98.600166,-0.2702564
65.09375,-99.473579,-0.27164519
65.293945,-100.1085,-0.27296543
65.494141,-101.10569,-0.27566999
65.69433599999999,-101.78447,-0.27562976
65.894531,-102.51793,-0.27757734
66.094727,-103.47419000000001,-0.27909577
66.294922,-104.11493,-0.28095543
66.49511700000001,-104.85379,-0.28151423
66.695313,-105.59385,-0.2833873
66.89550799999999,-106.45407,-0.28549433
67.095703,-107.16637,-0.28698444
67.295898,-108.11578999999999,-0.28890967
67.496094,-108.7985,-0.28965324
67.69628900000001,-109.62411999999999,-0.29117614
67.896484,-110.4498,-0.29331595
68.09668,-111.20518,-0.29437095
68.296875,-111.89464,-0.29521286
68.49707,-112.52869,-0.29701293
68.697266,-113.50267,-0.29889643
68.89746099999999,-114.3092,-0.30064434
69.097656,-115.20721,-0.30183941
69.297852,-115.89176,-0.30293614
69.498047,-116.41727,-0.30471683
69.69824200000001,-117.29807,-0.30616075
69.898438,-118.16382,-0.30749440000000006
70.09863299999999,-118.96983,-0.30885786
70.298828,-119.51068000000001,-0.3103599
70.499023,-120.52837,-0.31178594
70.699219,-121.36641999999999,-0.31355619
70.89941400000001,-122.02058999999998,-0.31482129999999997
71.099609,-122.94422,-0.31611025
71.299805,-123.68491000000002,-0.31738579
71.5,-124.27538,-0.31946599
71.700195,-125.0434,-0.32002926
71.900391,-125.86156000000001,-0.32163411
72.10058599999999,-126.6245,-0.32320023
72.300781,-127.59577,-0.32511801
72.500977,-128.17517,-0.32625645
72.701172,-129.00108,-0.32780021
72.90136700000001,-129.892,-0.32904148
73.101563,-130.75569,-0.33062994
73.30175799999999,-131.53888999999998,-0.33173263
73.501953,-132.28596000000002,-0.33347309
73.702148,-132.76523999999998,-0.33480823
73.902344,-133.74518,-0.33668578
74.10253900000001,-134.65036,-0.33740103
74.302734,-135.23572,-0.33854097
74.50293,-136.04463,-0.34036487
74.703125,-136.90288,-0.34180135
74.90332,-137.78001,-0.34329742
75.103516,-138.55534,-0.34446716
75.30371099999999,-139.19879,-0.34616888
75.503906,-140.06611999999998,-0.34734458
75.704102,-140.71175,-0.3485173
75.904297,-141.58286,-0.34994334
76.10449200000001,-142.37257,-0.35131425
76.304688,-143.13978999999998,-0.35189986
76.50488299999999,-143.98568999999998,-0.35427511
76.705078,-144.924,-0.35568923
76.905273,-145.51256,-0.35740882
77.105469,-146.33995,-0.35836399
77.30566400000001,-147.06006000000002,-0.36015064
77.505859,-147.86423,-0.36073029
