time [s],Force [kN],Transducer [mm]
81.230469,-1.4235973,-0.0027924776
81.43066400000001,-2.3105497,-0.0092983246
81.630859,-2.7156583999999997,-0.018170476
81.831055,-3.2979007000000005,-0.04144311
82.03125,-4.725337000000001,-0.06172359
82.231445,-5.5518003,-0.070002675
82.431641,-5.9860815999999994,-0.074088573
82.63183599999999,-6.5599756,-0.077617168
82.832031,-7.752502400000001,-0.083857775
83.032227,-8.9842367,-0.090792775
83.232422,-9.714740800000001,-0.09410381300000001
83.43261700000001,-10.40236,-0.09779036
83.632813,-11.151703,-0.10116994
83.83300799999999,-11.868201,-0.10396838
84.033203,-12.694139999999999,-0.10835528
84.233398,-13.457734,-0.11120737
84.433594,-14.378579,-0.11492968
84.63378900000001,-15.163157,-0.11895299
84.833984,-15.965547,-0.12114942
85.03418,-16.733406,-0.12353957
85.234375,-17.629906,-0.12737215
85.43457,-18.394543,-0.13017356
85.634766,-19.149857,-0.13305545
85.83496099999999,-19.924757,-0.13588369
86.035156,-20.676237,-0.13775229
86.235352,-21.43877,-0.1411289
86.435547,-22.216835,-0.14362633
86.63574200000001,-23.017691,-0.14637113
86.835938,-23.732153,-0.14886558
87.03613299999999,-24.556892,-0.15119016
87.236328,-25.323173999999998,-0.15375912
87.436523,-26.113873,-0.15619695
87.636719,-26.837491999999997,-0.15894771
87.83691400000001,-27.67322,-0.16115606
88.037109,-28.406046000000003,-0.16308129
88.237305,-29.200563,-0.16596019
88.4375,-29.929394,-0.16812682
88.637695,-30.773489,-0.17082691
88.837891,-31.463646,-0.17285347
89.03808599999999,-32.302433,-0.17465651
89.238281,-33.090752,-0.17711818
89.438477,-33.843596999999995,-0.18008649
89.638672,-34.589813,-0.182423
89.83886700000001,-35.390144,-0.18369853
90.039063,-36.190585999999996,-0.18686652
90.23925799999999,-36.95919,-0.18887222
90.439453,-37.732246,-0.19057393
90.639648,-38.521217,-0.1929462
90.839844,-39.262863,-0.19549727
91.04003900000001,-40.052925,-0.19724667
91.240234,-40.848251,-0.19906163
91.44043,-41.601898,-0.20205975
91.640625,-42.380592,-0.20397604
91.84082,-43.165672,-0.20588338
92.041016,-43.988579,-0.20876825
92.24121099999999,-44.731319,-0.21010339
92.441406,-45.528507,-0.21276474
92.641602,-46.335578999999996,-0.21551549
92.841797,-47.088703,-0.21737814
93.04199200000001,-47.856426,-0.21934807
93.242188,-48.675869,-0.22172332
93.44238299999999,-49.463882,-0.22351742
93.642578,-50.223362,-0.22541583
93.842773,-50.997634999999995,-0.22702515
94.042969,-51.800781,-0.22896528
94.24316400000001,-52.543071999999995,-0.23209155
94.443359,-53.356117000000005,-0.23370385
94.643555,-54.125935,-0.23651421
94.84375,-54.927391,-0.23843348
95.043945,-55.671772,-0.23991764
95.244141,-56.50354399999999,-0.24186969
95.44433599999999,-57.246418000000006,-0.24465621
95.644531,-58.073643000000004,-0.24612546
95.844727,-58.785088,-0.24852455
96.044922,-59.614532,-0.25072992
96.24511700000001,-60.335209,-0.25202334
96.445313,-61.163876,-0.25468469
96.64550799999999,-61.897785,-0.25663972
96.845703,-62.733536,-0.25837421
